Name,SWF,ExportName,Sound,Volume,MinPitch,MaxPitch,ParticleEmitter,CameraShake,AttachToParent,Looping,IsoLayer
String,String,String,String,int,int,int,String,int,boolean,boolean,String
Air Defence Pickup,,,sfx/air_def_pickup_03.wav,100,100,100,Grass,,,,top
Air Defence Placing,,,sfx/air_defense_place_01.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Alliance,,,sfx/alliance_jingle.wav,100,100,100,,,,,
Alliance Castle Pickup,,,sfx/alliance_build_pickup_03.wav,100,100,100,Grass,,,,top
Alliance Castle Placing,,,sfx/alliance_build_drop_04.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Archer Attack,,,sfx/arrow_hit_07.wav,80,90,110,,,,,
,,,sfx/arrow_hit_07v2.wav,80,90,110,,,,,
,,,sfx/arrow_hit_07v3.wav,80,90,110,,,,,
Archer Deploy,,,sfx/archer_deploy_09.wav,80,100,100,Deploy,,,,objects
,,,sfx/archer_deploy_09v2.wav,80,100,100,,,,,
,,,sfx/archer_deploy_09v3.wav,80,100,100,,,,,
Archer Die,,,sfx/archer_death_05.wav,60,95,105,Splat,,TRUE,,top
Archer Hit,,,sfx/arrow_hit_12.wav,60,90,110,Hit,,TRUE,,objects
Balloon Goblin Attack,,,sfx/cannon_fire3.wav,80,90,110,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Balloon Goblin Deploy,,,sfx/balloon_deploy_02.wav,100,100,100,,,,,
Balloon Goblin Die,,,sfx/balloon_die_01.wav,,,,SplatBig,,TRUE,,top
Balloon Goblin Hit,,,sfx/balloon_hit_01.wav,,,,Smoke,50,,,objects
,,,,,,,Grass,,,,objects
,,,,,,,Ring,,,,objects
Barbarian Attack,,,sfx/barbarian_sword_swing_hit_14.wav,50,90,110,,,,,
,,,sfx/barbarian_sword_swing_hit_14v3.wav,50,90,110,,,,,
,,,sfx/barbarian_sword_swing_hit_14v2.wav,50,90,110,,,,,
Barbarian Deploy,,,sfx/barb_deploy_11.wav,50,100,100,Deploy,,,,objects
,,,sfx/barb_deploy_11v2.wav,50,100,100,,,,,objects
,,,sfx/barb_deploy_11v3.wav,50,100,100,,,,,objects
Barbarian Die,,,sfx/barbarian_death_01.wav,70,100,110,Splat,,TRUE,,top
Barbarian Hit,,,sfx/barbarian_hit_stuff2.wav,60,90,110,Hit,,TRUE,,objects
,,,sfx/barbarian_hit_stuff3.wav,50,90,110,,,,,
,,,sfx/barbarian_hit_stuff4.wav,55,90,110,,,,,
Basic Turret Pickup,,,sfx/cannon_pickup3.wav,100,100,100,Grass,,,,top
Basic Turret Placing,,,sfx/cannon_drop2.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Bomb Exposion,,,sfx/explosion_02.wav,100,100,100,Smoke,50,,,objects
,,,,,,,Grass,,,,objects
,,,,,,,Ring,,,,objects
Building Destroyed,,,sfx/building_destroyed_01.wav,100,85,95,Building Destroyed,,,,objects
,,,,,,,Smoke,,,,
,,,,,,,Grass,,,,
Building Ready,,,sfx/building_finished_01.wav,100,100,100,Building Ready,,,,top
Bush Pickup,,,sfx/bush2.wav,100,100,100,Grass,,,,objects
Cannon Attack,,,sfx/cannon_08.wav,100,100,100,Cannon,,,,objects
Clear Tombstone,,,,,,,Grass,,,,objects
