TID,Description,EN,FR
String,String,String,String
TID_ABOUT,,Cosmin Baltaretu\n\nNiko Derome\n\nRene Kivioja\n\nLassi Leppinen\n\nJani Lintunen\n\nLasse Louhento\n\nTaneli Oksama\n\nRiku Rikala\n\nMartin Schjoeler\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nJonatas Chagas\n\nErlend Christoffersen\n\nVisa Forsten\n\nGreg Harper\n\nJari Hokkanen\n\nMikko Kodisoja\n\nMiki Kuusi\n\nMikko Lehtonen\n\nIlkka Paananen\n\nAntti Summala\n\nVeli Vainio\n\nSami Yliharju\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nClash of Clans� <version>\nCopyright 2012  Supercell Ltd. All Rights Reserved.\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact support@supercell.net.,
TID_ABOUT_BUTTON,,About,
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,,Accept join request?,
TID_ADD_FRIENDS_INFO,,,
TID_AIR_DEFENSE_INFO,,"This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible.",
TID_ALLIANCE_ACCEPTED_BY,,Accepted by <name>,
TID_ALLIANCE_BADGE_BROWSE,,Browse,
TID_ALLIANCE_BUTTON_EDIT,,Edit,
TID_ALLIANCE_BUTTON_LEAVE,,Leave,
TID_ALLIANCE_CASTLE_INFO,,The Clan Castle flies the colors of your Clan. It also houses any reinforcement troops sent by your clanmates.,
TID_ALLIANCE_CREATE_BADGE,,Symbol:,
TID_ALLIANCE_CREATE_DESCRIPTION,,Description:,
TID_ALLIANCE_CREATE_NAME,,Clan Name:,
TID_ALLIANCE_CREATE_OK,,You have successfully founded a new clan!,
TID_ALLIANCE_CREATE_TYPE,,Clan Type:,
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE,,Hey I'd like to join your clan,
TID_ALLIANCE_DEMOTE_BUTTON,,Demote to <role>,
TID_ALLIANCE_DONATE_HEADER,,Donate Troops,
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE,,Player has already joined a clan!,
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE,,You have already invited that player!,
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE,,"Can't invite, player does not have a Clan Castle!",
TID_ALLIANCE_INVITATION_OK,,Invite sent successfully.,
TID_ALLIANCE_JOIN_BUTTON,,Join,
TID_ALLIANCE_JOIN_FAILED,,Clan is full!,
TID_ALLIANCE_JOIN_OK,,You are now a member of clan <name>!,
