Name,TID,SWF,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeResource,UpgradeCost,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect
String,String,String,int,int,int,int,int,int,String,int,int,String,int,int,int,int,int,int,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String
Barbarian,TID_BARBARIAN,sc/characters.cs,1,1,1,200,45,25,Elixir,25,6,Elixir,50000,40,1000,8,1,,sc/ui.sc,icon_unit_barbarian,unit_barbarian_big,,,Barbarian Deploy,Barbarian Attack,Barbarian Hit,FALSE,FALSE,TRUE,,Barbarian Die
,,,,,1,,54,,,50,12,,100000,,,11,,,,,,,,,,,,,,,
,,,,,3,,65,,,100,24,,500000,,,14,,,,,,,,,,,,,,,
,,,,,5,,78,,,150,48,,1000000,,,18,,,,,,,,,,,,,,,
,,,,,6,,95,,,200,72,,,,,23,,,,,,,,,,,,,,,
Archer,TID_ARCHER,sc/characters.cs,1,2,1,300,20,25,Elixir,50,6,Elixir,50000,400,1000,7,1,,sc/ui.sc,icon_unit_archer,unit_archer_big,Arrow_small,,Archer Deploy,Archer Attack,Archer Hit,FALSE,TRUE,TRUE,,Archer Die
,,,,,1,,24,,,100,12,,100000,,,9,,,,,,,,,,,,,,,
,,,,,3,,29,,,200,24,,500000,,,12,,,,,,,,,,,,,,,
,,,,,5,,35,,,300,48,,1000000,,,16,,,,,,,,,,,,,,,
,,,,,6,,42,,,350,72,,,,,20,,,,,,,,,,,,,,,
Goblin,TID_GOBLIN,sc/characters.cs,1,3,1,400,25,30,Elixir,50,6,Elixir,50000,40,1000,11,2,,sc/ui.sc,icon_unit_goblin,unit_goblin_big,,Resource,Goblin Deploy,Goblin Attack,Goblin Hit,FALSE,FALSE,TRUE,,Goblin Die
,,,,,1,,30,,,100,12,,100000,,,14,,,,,,,,,,,,,,,
,,,,,3,,36,,,150,24,,500000,,,19,,,,,,,,,,,,,,,
,,,,,5,,43,,,200,48,,1000000,,,24,,,,,,,,,,,,,,,
,,,,,6,,52,,,250,72,,,,,32,,,,,,,,,,,,,,,
Giant,TID_GIANT,sc/characters.cs,5,4,1,150,300,105,Elixir,500,6,Elixir,100000,100,2000,11,1,,sc/ui.sc,icon_unit_giant,unit_giant_big,,Defense,Giant Deploy,Giant Attack,Giant Hit,FALSE,FALSE,TRUE,,Giant Die
,,,,,2,,360,,,1000,12,,250000,,,14,,,,,,,,,,,,,,,
,,,,,4,,430,,,2000,24,,500000,,,19,,,,,,,,,,,,,,,
,,,,,5,,520,,,3000,48,,1000000,,,24,,,,,,,,,,,,,,,
,,,,,6,,620,,,4000,72,,,,,31,,,,,,,,,,,,,,,
Wall Breaker,TID_WALL_BREAKER,sc/characters.cs,1,5,1,300,20,120,Elixir,1000,6,Elixir,100000,50,1000,12,40,80,sc/ui.sc,icon_unit_wallbreaker,unit_skeleton_big,,Wall,Wall Breaker Deploy,Wall Breaker Attack,Wall Breaker Hit,FALSE,FALSE,TRUE,1,Wall Breaker Die
,,,,,2,,24,,,2000,12,,250000,,,16,,80,,,,,,,,,,,,,
,,,,,4,,29,,,3000,24,,500000,,,24,,80,,,,,,,,,,,,,
,,,,,5,,35,,,4000,48,,1000000,,,32,,80,,,,,,,,,,,,,
,,,,,6,,42,,,5000,72,,,,,46,,80,,,,,,,,,,,,,
Balloon Goblin,TID_GOBLIN_BALLOON,sc/characters.cs,5,6,1,150,150,600,Elixir,2000,6,Elixir,100000,50,4000,25,1,120,sc/ui.sc,icon_unit_balloon,unit_balloon_big,,Defense,Balloon Goblin Deploy,Balloon Goblin Attack,Balloon Goblin Hit,TRUE,FALSE,TRUE,,Balloon Goblin Die
,,,,,2,,180,,,3000,12,,250000,,,32,,,,,,,,,,,,,,,
,,,,,4,,216,,,4000,24,,500000,,,48,,,,,,,,,,,,,,,
