Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpawnTroopType,SpawnTroopUpgradeLevel,SpawnTroopCount,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius
String,String,String,String,int,int,int,String,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String,String,int,int,String,int,int,String,int,int,String,int,String,int,int,int
Barbarian King,TID_BARBARIAN_KING,TID_HERO_INSTRUCTIONS,sc/characters.cs,200,1500,12,DarkElixir,12500,7,100,1200,150,1,,sc/ui.sc,icon_hero_barbarianKing,unit_barbarianKing_big,,,Barbarian King Deploy,Barbarian King Attack,Barbarian King Hit,FALSE,FALSE,TRUE,,Barbarian King Die,BarbarianKing_lvl1,1300,25,Barbarian,0,1,Building Ready,60,,Elixir,,Barbarian King Scream,70,-40,350
,,,,,1560,24,,15000,7,,,156,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,1,,66,,,,,,,
,,,,,1622,36,,17500,7,,,162,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,2,,72,,,,,,,
,,,,,1687,48,,20000,7,,,169,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,2,,78,,,,,,,
,,,,,1755,60,,22500,7,,,175,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,3,,84,,,,,,,
,,,,,1825,72,,25000,8,,,182,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,3,,90,,,,,,,
,,,,,1898,84,,30000,8,,,190,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,4,,96,,,,,,,
,,,,,1974,96,,35000,8,,,197,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,4,,102,,,,,,,
,,,,,2053,108,,40000,8,,,205,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,5,,108,,,,,,,
