Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,UnitProduction,UpgradesUnits,Hitpoints,RegenTime,AttackRange,AttackSpeed,Damage,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamageAnim,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,MinAttackRange,DamageRadius,PushBack,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked
String,String,String,String,String,String,String,String,int,int,int,String,int,int,int,int,String,String,int,int,boolean,int,String,int,int,int,boolean,int,int,int,int,int,String,String,String,String,String,String,int,int,String,String,boolean,boolean,int,int,boolean,String,String,boolean,String,int,int,int,boolean
Troop Housing,TID_BUILDING_HOUSING,TID_HOUSING_INFO,Army,sc/buildings.sc,fireplace_lvl1,,fireplace_const,,,5,Elixir,250,1,5,5,,fireplace_upg,,,,20,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke5,gen_destructed_state4,2,2,fireplace_base,,,,,,,Troop Housing Pickup,Troop Housing Placing,TRUE,,,,,
,,,,,fireplace_lvl2,,,,1,0,,2500,2,,,,,,,,30,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl3,,,,3,0,,10000,3,,,,,,,,35,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl4,,,,8,0,,50000,4,,,,,,,,40,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,20,0,,100000,5,,,,,,,,45,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,16,0,,300000,6,,,,,,,,50,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town Hall,TID_BUILDING_TOWN_HALL,TID_TOWN_HALL_INFO,Town Hall,sc/buildings.sc,town_hall_lvl1,goblin_townhall_lvl1,town_hall_const,,,1,Gold,0,,4,4,,town_hall_upg,1000,1000,,,,,,,,1250,30,,,,Building Destroyed,,,,gen_hitstate_smoke4,town_hall_broken,3,3,townhall_base,goblin_townhall_base,,,,,,Town Hall Pickup,Town Hall Placing,TRUE,,,,1,
,,,,,town_hall_lvl2,,,,,10,,1000,,,,,,1000,1000,,,,,,,,1310,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,,,,,town_hall_lvl3,,,,4,0,,5000,,,,,,1000,1000,,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,3,
,,,,,town_hall_lvl4,,,,16,0,,25000,,,,,,1000,1000,,,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,town_hall_lvl5,,,2,0,0,,150000,,,,,,1000,1000,,,,,,,,1520,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,town_hall_lvl6,,,4,0,0,,750000,,,,,,1000,1000,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,town_hall_lvl7,,,6,0,0,,1200000,,,,,,1000,1000,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,town_hall_lvl8,,,8,0,0,,1500000,,,,,,1000,1000,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Elixir Pump,TID_BUILDING_ELIXIR_PUMP,TID_ELIXIR_PUMP_INFO,Resource,sc/buildings.sc,elixir_pump_lvl1,,elixir_pump_const,,,1,Gold,150,1,3,3,,elixir_pump_upg,,,,,Elixir,200,500,,,400,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,elixir_destructed_state2,2,2,elixir_pump_base,,,,,,,Elixir Pump Pickup,Elixir Pump Placing,TRUE,,,,,
,,,,,elixir_pump_lvl2,,,,,5,,300,1,,,,,,,,,,400,1000,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl3,,,,,20,,700,2,,,,,,,,,,600,1500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl4,,,,1,0,,1400,2,,,,,,,,,,800,2500,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl5,,,,2,0,,3500,3,,,,,,,,,,1000,10000,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl6,,,,6,0,,7000,3,,,,,,,,,,1300,20000,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl7,,,,12,0,,14000,4,,,,,,,,,,1600,30000,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl8,,,1,0,0,,28000,4,,,,,,,,,,1900,50000,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl9,,,2,0,0,,56000,5,,,,,,,,,,2200,75000,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl10,,,3,0,0,,84000,5,,,,,,,,,,2500,100000,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Storage,TID_BUILDING_ELIXIR_STORAGE,TID_ELIXIR_STORAGE_INFO,Resource,sc/buildings.sc,elixir_storage_level1,,elixir_storage_const,,,15,Gold,300,1,3,3,,elixir_storage_upg,,1500,,,,,,,,400,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,elixir_destructed_state3,2,2,elixir_storage_base,,,,,,,Elixir Storage Pickup,Elixir Storage Placing,,,,,,
,,,,,elixir_storage_level2,,,,,30,,750,2,,,,,,3000,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level3,,,,1,0,,1500,2,,,,,,6000,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level4,,,,2,0,,3000,3,,,,,,12000,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level5,,,,3,0,,6000,3,,,,,,25000,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level6,,,,4,0,,12000,3,,,,,,50000,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level7,,,,6,0,,25000,4,,,,,,100000,,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level8,,,,8,0,,50000,4,,,,,,250000,,,,,,,,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level9,,,,12,0,,100000,5,,,,,,500000,,,,,,,,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level10,,,,24,0,,250000,6,,,,,,1000000,,,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Mine,TID_BUILDING_GOLD_MINE,TID_GOLD_MINE_INFO,Resource,sc/buildings.sc,goldmine_lvl1,,goldmine_const,,,1,Elixir,150,1,3,3,,goldmine_upg,,,,,Gold,200,500,,,400,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,wood_destructed_state2,2,2,goldmine_base,,,,,,,Gold Mine Pickup,Gold Mine Placing,TRUE,,,,,
,,,,,goldmine_lvl2,,,,,5,,300,1,,,,,,,,,,400,1000,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl3,,,,,20,,700,2,,,,,,,,,,600,1500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl4,,,,1,0,,1400,2,,,,,,,,,,800,2500,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl5,,,,2,0,,3000,3,,,,,,,,,,1000,10000,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl6,,,,6,0,,7000,3,,,,,,,,,,1300,20000,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
