Name,NumberValue,BooleanValue,TextValue
String,int,boolean,String
SPEED_UP_DIAMOND_COST_1_MIN,1,,
SPEED_UP_DIAMOND_COST_1_HOUR,20,,
SPEED_UP_DIAMOND_COST_24_HOURS,260,,
SPEED_UP_DIAMOND_COST_1_WEEK,1000,,
ALLIANCE_CREATE_RESOURCE,,,Gold
ALLIANCE_CREATE_COST,2000,,
OBSTACLE_RESPAWN_SECONDS,21600,,
OBSTACLE_COUNT_MAX,40,,
ALLIANCE_TROOP_REQUEST_COOLDOWN,1200,,
MAX_TROOP_DONATION_COUNT,5,,
NEWBIE_SHIELD_HOURS,48,,
LOW_SHIELD_HOURS,12,,
LOW_SHIELD_LIMIT_PERCENTAGE,75,,
MEDIUM_SHIELD_HOURS,24,,
MEDIUM_SHIELD_LIMIT_PERCENTAGE,50,,
NEWBIE_PROTECTION_EXP_LEVEL,2,,
STARTING_DIAMONDS,500000,,
STARTING_GOLD,750000000,,
STARTING_ELIXIR,750000000,,
WORKER_COST_2ND,250,,
WORKER_COST_3RD,500,,
WORKER_COST_4TH,1000,,
WORKER_COST_5TH,2000,,
RESOURCE_DIAMOND_COST_100,1,,
RESOURCE_DIAMOND_COST_1000,5,,
RESOURCE_DIAMOND_COST_10000,25,,
RESOURCE_DIAMOND_COST_100000,125,,
RESOURCE_DIAMOND_COST_1000000,600,,
RESOURCE_DIAMOND_COST_10000000,3000,,
RESOURCE_PRODUCTION_LOOT_PERCENTAGE,50,,
RESOURCE_STORAGE_LOOT_PERCENTAGE,30,,
TOWN_HALL_LOOT_PERCENTAGE,100,,
NEWBIE_PROTECTION_LEVEL,1,,
APP_RATE_XP_LEVEL,11,,
ATTACK_LENGTH_SEC,180,,
ATTACK_PREPARATION_LENGTH_SEC,30,,
FEEDBACK_EMAIL,,,clashofclans.feedback@supercell.net
COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL,48,,
COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM,120,,
COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE,336,,
