Name,FileName,LocalizedName,HasEvenSpaceCharacters,isRTL,UsedSystemFont,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,SortOrder,TestLanguage,TestExcludes,BoomboxEnabled,BoomboxUrl,BoomboxStagingUrl,BoomboxForYouEnabled,HelpshiftLanguageTagOverride,ForcedFontName
String,String,String,boolean,boolean,String,String,String,int,boolean,String,boolean,String,String,boolean,String,String
EN,localization/texts.csv,English,,,,en,,1,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com,TRUE,EN,
FR,localization/texts.csv,Français,,,,fr,,2,,,TRUE,https://inbox.clashofclans.com/fr,https://inbox-staging.clashofclans.com/fr,,FR,
DE,localization/texts.csv,Deutsch,,,,de,,3,,,TRUE,https://inbox.clashofclans.com/de,https://inbox-staging.clashofclans.com/de,,DE,
ES,localization/texts.csv,Español,,,,es,,4,,,TRUE,https://inbox.clashofclans.com/es,https://inbox-staging.clashofclans.com/es,,ES,
IT,localization/texts.csv,Italiano,,,,it,,5,,,,https://inbox.clashofclans.com/it,https://inbox-staging.clashofclans.com/it,,IT,
NL,localization/texts.csv,Nederlands,,,,nl,,6,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/nl,TRUE,NL,
NO,localization/texts.csv,Norsk,,,,,,7,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/no,TRUE,NO,
PT,localization/texts.csv,Português,,,,pt,pt_Br,8,,,TRUE,https://inbox.clashofclans.com/pt,https://inbox-staging.clashofclans.com/pt,,PT,
TR,localization/texts.csv,Türkçe,,,,tr,,9,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/tr,TRUE,TR,
CN,localization/texts.csv,简体中文,TRUE,,STHeitiSC-Medium,zh-Hans,zh_CN,11,,,TRUE,https://clashofclans.scinbox.qq.com,https://testclashofclans.scinbox.qq.com,TRUE,CN,
JP,localization/texts.csv,日本語,TRUE,,HiraKakuProN-W6,ja,,13,,,,https://inbox.clashofclans.com/ja,https://inbox-staging.clashofclans.com/ja,,JP,
KR,localization/texts.csv,한국어,TRUE,,,ko,,14,,,TRUE,https://inbox.clashofclans.com/ko,https://inbox-staging.clashofclans.com/ko,,KR,
RU,localization/texts.csv,Pусский,,,,ru,,10,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/ru,TRUE,RU,
TEXT,,Longest Text,,,,zh-hans,zh_CN,1000,TRUE,AR,,http://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com,https://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com,TRUE,EN,
,,,,,,,,,,FA,,,,,,
WORD,,Longest Word,,,,cn,zh_TW,1001,TRUE,AR,,,,,EN,
,,,,,,,,,,FA,,,,,,
DOUBLE,,Double String,,,,zh-Hans,zh_CN,1002,TRUE,,,,,,EN,
EMPTY,,Empty Texts,,,,ko,ko,1003,TRUE,,,,,,EN,
CNT,localization/texts.csv,繁體中文,TRUE,,STHeitiSC-Medium,zh-Hant,zh_TW,12,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/zh,TRUE,CNT,
AR,localization/texts.csv,العربية,,TRUE,,ar,,15,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/ar,TRUE,AR,
FA,localization/texts.csv,فارسی,,TRUE,,,,16,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/fa,TRUE,,
ID,localization/texts.csv,Bahasa Indonesia,,,,id,,17,,,TRUE,https://inbox.clashofclans.com/id,https://inbox-staging.clashofclans.com/id,,,
MS,localization/texts.csv,Bahasa Melayu,,,,ms,,18,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/ms,TRUE,,
TEST,,Test Language,,,,,,999,TRUE,,,,,,,
VI,localization/texts.csv,Tiếng Việt,,,,vi,,19,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/vi,TRUE,,
DOUBLEDOUBLE,,Double Double String,,,,zh-Hans,zh_CN,1004,TRUE,,,,,,,
QUADRUPLE,,Quad String,,,,zh-Hans,zh_CN,1005,TRUE,,,,,,,
TH,localization/texts.csv,ภาษาไทย,,,HelveticaNeue-Bold,th,,20,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/th,TRUE,,
FI,localization/texts.csv,Suomi,,,,fi,,21,,,TRUE,https://inbox.clashofclans.com,https://inbox-staging.clashofclans.com/fi,TRUE,,
