Name,Character,IsDefaultSkin,EnabledByCalendar,TID,InfoTID,IconSWF,IconExportName,Geometry,Texture,Animation,AltAnimation,CameraDistance,ViewportWidth,ViewportHeight,DeploySfx,DeploySfxVolume,DieSfx,DieSfxVolume,CelebrateSfx,CelebrateSfxVolume
String,String,boolean,boolean,String,String,String,String,String,String,String,String,int,int,int,String,int,String,int,String,int
BarbarianKingDefault,Barbarian King,TRUE,,TID_BARBARIAN_KING,,sc/info_barbarian.sc,unit_barbarianKing_big,sc3d/barbking_default_geo.scw,sc3d/barbking_default_01.pvr,BarbarianKingDefaultSkin,,10000,225,225,sfx/barbarian_king_deploy.ogg,90,sfx/barbarian_king_die_01.ogg,90,sfx/barbarian_king_scream_01.ogg,80
,,,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90
BarbarianKingGladiator,Barbarian King,,,TID_BARBARIAN_KING_GLADIATOR,,sc/info_barbarian.sc,unit_barbarianKing_big,sc3d/barbking_gladiator_geo_dl_opt.scw,sc3d/barbking_gladiator_01_dl_opt.pvr,BarbarianKingGladiatorSkin,,10000,225,225,sfx/barbarian_king_deploy.ogg,90,sfx/barbarian_king_die_01.ogg,90,sfx/barbarian_king_scream_01.ogg,80
,,,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90
ArcherQueenDefault,Archer Queen,TRUE,,TID_ARCHER_QUEEN,,sc/info_archer.sc,unit_archerQueen_big,sc3d/archerqueen_default_geo.scw,sc3d/archerqueen_default_01.pvr,ArcherQueenDefaultSkin,,10000,225,225,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_die_01.ogg,80,sfx/archer_queen_scream_01.ogg,90
GrandWardenDefault,Grand Warden,TRUE,,TID_GRAND_WARDEN,,sc/info_ancientelder.sc,unit_elder_big,sc3d/barbking_default_geo.scw,sc3d/barbking_default_01.pvr,BarbarianKingDefaultSkin,BarbarianKingDefaultSkin,10000,225,225,,,,,,
BarbarianKingChronos001,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos002,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos003,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos004,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos005,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos006,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos007,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
BarbarianKingChronos008,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos001,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos002,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos003,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos004,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos005,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos006,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos007,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
ArcherQueenChronos008,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos001,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos002,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos003,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos004,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos005,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos006,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos007,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
GrandWardenChronos008,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,
