Name,Character,IsDefaultSkin,EnabledByCalendar,TID,Geometry,Texture,NormalMap,Animation,AltAnimation,CameraDistance,ViewportWidth,ViewportHeight,DeploySfx,DeploySfxVolume,DieSfx,DieSfxVolume,CelebrateSfx,CelebrateSfxVolume,AttackSfx,AttackSfxVolume,AttackSfxMinPitch,AttackSfxMaxPitch,AbilityTriggerEffect,SkinChangeEffect,ParticleEffect3D
String,String,boolean,boolean,String,String,String,String,String,String,int,int,int,String,int,String,int,String,int,String,int,int,int,String,String,String
BarbarianKingDefault,Barbarian King,TRUE,,TID_BARBARIAN_KING,sc3d/barbking_default_geo.scw,sc3d/barbking_default_01.pvr,,BarbarianKingDefaultSkin,,10000,225,225,sfx/barbarian_king_deploy.ogg,90,sfx/barbarian_king_die_01.ogg,90,sfx/barbarian_king_scream_01.ogg,80,sfx/barbarian_king_attack_01.ogg,60,75,130,King Ability Effect,,
,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90,,,,,,,
BarbarianKingGladiator,Barbarian King,,,TID_BARBARIAN_KING_GLADIATOR,sc3d/barbking_gladiator_geo_dl_opt.scw,sc3d/barbking_gladiator_01_dl_opt.pvr,,BarbarianKingGladiatorSkin,,10000,225,225,sfx/gladiatorking_deploy_vo_01.ogg,90,sfx/gladiatorking_die_vo_01.ogg,90,sfx/gladiatorking_celebrate_vo_01.ogg,80,sfx/barbarian_king_attack_01.ogg,60,75,130,King Ability Effect,,
ArcherQueenDefault,Archer Queen,TRUE,,TID_ARCHER_QUEEN,sc3d/archerqueen_default_geo.scw,sc3d/archerqueen_default_01.pvr,,ArcherQueenDefaultSkin,,10000,225,225,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_die_01.ogg,80,sfx/archer_queen_scream_01.ogg,90,sfx/archer_queen_attack_02.ogg,80,95,105,Queen Ability Effect,,
,,,,,,,,,,,,,,,,,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_attack_01.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/archer_queen_attack_01.ogg,80,95,105,,,
GrandWardenDefault,Grand Warden,TRUE,,TID_GRAND_WARDEN,sc3d/grandwarden_default_geo.scw,sc3d/grandwarden_default_01.pvr,,GrandWardenDefaultSkin,GrandWardenFlyDefaultSkin,10000,225,225,sfx/grand_warden_deploy_02.ogg,90,sfx/grand_warden_dizzy_01.ogg,80,sfx/tap_grand_warden_04.ogg,90,sfx/grand_warden_attack_01.ogg,80,95,105,,,
BarbarianKingChronos001,Barbarian King,,,TID_BARBARIAN_KING_PEKKA,sc3d/barbking_pekkabk_geo_dl_opt.scw,sc3d/barbking_pekkabk_01_dl_opt.pvr,,BarbarianKingPekkaSkin,,10000,225,225,sfx/gladiatorking_deploy_vo_01.ogg,90,sfx/gladiatorking_die_vo_01.ogg,90,sfx/gladiatorking_celebrate_vo_01.ogg,80,sfx/barbarian_king_attack_01.ogg,60,75,130,King Ability Effect,Pekka Spawn Effect,pekka_sword
BarbarianKingChronos002,Barbarian King,,,TID_SKELETON_KING,sc3d/barbking_skeleton_geo_dl_opt.scw,sc3d/barbking_skeleton_01_dl_opt.pvr,,BarbarianKingSkeletonSkin,,10000,225,225,sfx/barbarian_king_deploy.ogg,90,sfx/barbarian_king_die_01.ogg,90,sfx/barbarian_king_scream_01.ogg,80,sfx/barbarian_king_attack_01.ogg,60,75,130,King Ability Effect,Skeleton Spawn Effect,skeleton_Glow
,,,,,,,,,,,,,,,,,sfx/barbarian_king_deploy.ogg,90,,,,,,,
BarbarianKingChronos003,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
BarbarianKingChronos004,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
BarbarianKingChronos005,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
BarbarianKingChronos006,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
BarbarianKingChronos007,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
BarbarianKingChronos008,Barbarian King,,TRUE,,,,,,,,,,,,,,,,,,,,,,
ArcherQueenChronos001,Archer Queen,,,TID_ARCHER_QUEEN_GLADIATOR,sc3d/archerqueen_gladiator_geo_dl_opt.scw,sc3d/archerqueen_gladiator_01_dl_opt.pvr,,ArcherQueenGladiatorSkin,,10000,225,225,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_die_01.ogg,80,sfx/archer_queen_scream_01.ogg,90,sfx/archer_queen_attack_02.ogg,80,95,105,Queen Ability Effect,,
,,,,,,,,,,,,,,,,,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_attack_01.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/archer_queen_attack_01.ogg,80,95,105,,,
ArcherQueenChronos002,Archer Queen,,,TID_VALKYRIE_QUEEN,sc3d/archerqueen_valkyrie_geo_dl_opt.scw,sc3d/archerqueen_valkyrie_01_dl_opt.pvr,,ArcherQueenValkyrieSkin,,10000,225,225,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_die_01.ogg,80,sfx/archer_queen_scream_01.ogg,90,sfx/archer_queen_attack_02.ogg,80,95,105,Queen Ability Effect,,
,,,,,,,,,,,,,,,,,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_attack_01.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/archer_queen_attack_01.ogg,80,95,105,,,
ArcherQueenChronos003,Archer Queen,,,TID_AUTUMN_QUEEN,sc3d/archerqueen_autumn_geo_dl_opt.scw,sc3d/archerqueen_autumn_01_dl_opt.pvr,,ArcherQueenAutumnSkin,,10000,225,225,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_die_01.ogg,80,sfx/archer_queen_scream_01.ogg,90,sfx/archer_queen_attack_02.ogg,80,95,105,Queen Ability Effect,Autumn Spawn Effect,
,,,,,,,,,,,,,,,,,sfx/archer_queen_deploy_01.ogg,90,sfx/archer_queen_attack_01.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/archer_queen_attack_01.ogg,80,95,105,,,
ArcherQueenChronos004,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,,,,,,
ArcherQueenChronos005,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,,,,,,
ArcherQueenChronos006,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,,,,,,
ArcherQueenChronos007,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,,,,,,
ArcherQueenChronos008,Archer Queen,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos001,Grand Warden,,,TID_PARTY_WARDEN,sc3d/grandwarden_party_geo_dl_opt.scw,sc3d/grandwarden_party_01_dl_opt.pvr,,GrandWardenPartySkin,GrandWardenFlyPartySkin,10000,225,225,sfx/pwdeploy01.ogg,90,sfx/pw_die_01.ogg,80,sfx/pwdeploy01.ogg,90,sfx/pw_atk_01.ogg,80,95,105,,,
,,,,,,,,,,,,,,,sfx/pw_die_02.ogg,80,,,sfx/pw_atk_02.ogg,80,95,105,,,
