Name,Emitter,AttachToBone,LockTransformation,OnTop,BoundsCheck,ParticleSizeForBoundsCheck
String,String,String,boolean,boolean,boolean,int
autumn_Celebrate,hero_autumn_burst_3D,spine_mid_s,TRUE,FALSE,TRUE,1800
autumn_Walk,hero_autumn_walk,back_item_03_s,TRUE,FALSE,TRUE,600
clockwork_battery,clockwork_battery_fx,L_gunbone_05_s,TRUE,FALSE,TRUE,200
clockwork_glow,clockwork_glow,L_gunbone_01_s,TRUE,FALSE,TRUE,200
clockwork_intensify,clockwork_electricity_burst,L_gunbone_01_s,TRUE,TRUE,TRUE,2000
clockwork_intensify2,clockwork_electricity_burst,L_gunbone_01_s,TRUE,TRUE,TRUE,2000
empty,empty,spine_mid_s,TRUE,FALSE,TRUE,200
ice_Celebrate,hero_ice_burst,spine_mid_s,TRUE,FALSE,TRUE,2000
,hero_ice_snow_spiral,,TRUE,FALSE,TRUE,0
ice_mist,hero_ice_mist,spine_mid_s,TRUE,FALSE,TRUE,900
jolly_sword,hero_jolly_sword,L_gunbone_01_s,TRUE,FALSE,TRUE,300
pekka_sword,hero_pekka_sword,L_gunbone_01_s,TRUE,FALSE,TRUE,300
skeleton_Glow,test2,spine_mid_s,TRUE,FALSE,TRUE,200
test,test,L_gunbone_01_s,TRUE,FALSE,TRUE,200
,test2,L_gunbone_01_s,TRUE,FALSE,TRUE,200
