Name,AttachToBone,BoundsCheck,Emitter,LockTransformation,OnTop,ParticleSizeForBoundsCheck,DepthBias
String,String,boolean,String,boolean,boolean,int,int
autumn_Celebrate,spine_mid_s,TRUE,hero_autumn_burst_3D,TRUE,FALSE,1800,
autumn_Walk,back_item_03_s,TRUE,hero_autumn_walk,TRUE,FALSE,600,
champ_sword,R_gunbone_01_s,TRUE,hero_champion_sword,TRUE,FALSE,500,45
,R_gunbone_01_s,TRUE,hero_champion_sword_02,FALSE,FALSE,500,46
,R_gunbone_01_s,TRUE,hero_champion_sword_spark,FALSE,FALSE,1200,46
,R_gunbone_01_s,TRUE,hero_champion_sword_glow,TRUE,FALSE,450,47
champ_sword_menu,R_gunbone_01_s,FALSE,hero_champion_sword,TRUE,FALSE,500,33
,R_gunbone_01_s,TRUE,hero_champion_sword_02,FALSE,FALSE,500,34
,R_gunbone_01_s,TRUE,hero_champion_sword_spark,FALSE,FALSE,900,34
,R_gunbone_01_s,TRUE,hero_champion_sword_glow,TRUE,FALSE,450,35
champ_sword_02,R_gunbone_01_s,TRUE,hero_champion_sword_smoke,TRUE,FALSE,1000,11
,R_gunbone_01_s,FALSE,hero_champion_sword_glow_faint,TRUE,FALSE,0,10
clockwork_battery,L_gunbone_05_s,TRUE,clockwork_battery_fx,TRUE,FALSE,200,
clockwork_glow,L_gunbone_01_s,TRUE,clockwork_glow,TRUE,FALSE,200,
clockwork_intensify,L_gunbone_01_s,TRUE,clockwork_electricity_burst,TRUE,TRUE,2000,
clockwork_intensify2,L_gunbone_01_s,TRUE,clockwork_electricity_burst,TRUE,TRUE,2000,
empty,spine_mid_s,TRUE,empty,TRUE,FALSE,200,
ice_Celebrate,spine_mid_s,TRUE,hero_ice_burst,TRUE,FALSE,2000,
,,TRUE,hero_ice_snow_spiral,TRUE,FALSE,0,
ice_mist,spine_mid_s,TRUE,hero_ice_mist,TRUE,FALSE,900,
jolly_sword,L_gunbone_01_s,TRUE,hero_jolly_sword,TRUE,FALSE,300,10
pekka_sword,L_gunbone_01_s,TRUE,hero_pekka_sword,TRUE,FALSE,300,18
pirate_warden_puff,,TRUE,hero_pirate_GW_puff,FALSE,FALSE,650,
pirate_warden_puff2,,TRUE,hero_pirate_GW_puff2,FALSE,FALSE,650,
skeleton_Glow,spine_mid_s,TRUE,test2,TRUE,FALSE,200,
test,L_gunbone_01_s,TRUE,test,TRUE,FALSE,200,
,L_gunbone_01_s,TRUE,test2,TRUE,FALSE,200,
test_sword,R_gunbone_01_s,TRUE,hero_pekka_sword,TRUE,FALSE,300,
