Name,AttachLocator,AttachToParent,Beam,CameraShake,CameraShakeInReplay,CameraShakeTimeMS,DestroyWhenParentDies,DetachAfterStart,EmitterDelayMs,IsoLayer,Looping,LowEndMaxPitch,LowEndMinPitch,LowEndSound,LowEndVolume,MaxCount,MaxPitch,MinLifeTime,MinPitch,OffsetFromGunBone,OrientToParent,ParticleEmitter,PitchIncrease,SWF,SortInFrontOfParent,Sound,SoundDelay,StopSound,Targeted,Volume,ExportName,AltParticleEmitter
String,String,boolean,boolean,int,boolean,int,boolean,boolean,int,String,boolean,int,int,String,int,int,int,int,int,boolean,boolean,String,int,String,boolean,String,int,boolean,boolean,int,String,String
Air Defence Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,,100,0,105,0,95,FALSE,FALSE,Mortar_smoke,0,,FALSE,sfx/air_def_attack_02.ogg,0,FALSE,FALSE,60,,
Air Defence Barrel Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,Objects,FALSE,100,100,,100,0,,0,,FALSE,FALSE,,0,,FALSE,,0,FALSE,FALSE,,,
Air Defence hit1,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,sfx/wizard_hit_01.ogg,50,0,100,0,100,FALSE,FALSE,AirDefence1_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,65,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence1_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence1_hit3,,,,,,,,,,
Air Defence hit2,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,sfx/wizard_hit_01.ogg,50,0,100,0,100,FALSE,FALSE,AirDefence2_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,65,,
,,,,,,,,,0,,,,,,,,100,,100,,,AirDefence2_hit2,,,,sfx/air_def_hit_02.ogg,,,,65,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence2_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence2_hit4,,,,,,,,,,
Air Defence hit3,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,sfx/wizard_hit_01.ogg,65,0,100,0,100,FALSE,FALSE,AirDefence3_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,65,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence3_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence3_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefence3_hit4,,,,,,,,,,
Air Defence Mini Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,None,FALSE,100,100,,100,0,140,0,120,FALSE,FALSE,Mortar_smoke,0,,FALSE,sfx/air_def_attack_02.ogg,0,FALSE,FALSE,30,,
Air Defence Mini hit1,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,150,130,sfx/wizard_hit_01.ogg,30,0,150,0,130,FALSE,FALSE,AirDefenceMini1_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,30,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini1_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini1_hit3,,,,,,,,,,
Air Defence Mini hit2,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,150,130,sfx/wizard_hit_01.ogg,30,0,150,0,130,FALSE,FALSE,AirDefenceMini2_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,30,,
,,,,,,,,,0,,,,,,,,150,,130,,,AirDefenceMini2_hit2,,,,sfx/air_def_hit_02.ogg,,,,30,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini2_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini2_hit4,,,,,,,,,,
Air Defence Mini hit3,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,None,FALSE,150,130,sfx/wizard_hit_01.ogg,30,0,150,0,130,FALSE,FALSE,AirDefenceMini3_hit1,0,,FALSE,sfx/air_def_hit_02.ogg,0,FALSE,FALSE,30,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini3_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini3_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenceMini3_hit4,,,,,,,,,,
Air Defence Pickup,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,sfx/wall_pickup_01.ogg,80,0,100,0,100,FALSE,FALSE,Grass,0,,FALSE,sfx/air_def_pickup_03.ogg,0,FALSE,FALSE,80,,
Air Defence Placing,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/cannon_drop2.ogg,60,0,100,0,100,FALSE,FALSE,Place,0,,FALSE,sfx/air_defense_place_01.ogg,0,FALSE,FALSE,70,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
Air Defense Barrel Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/mortar_hit_01.ogg,80,0,105,0,95,FALSE,FALSE,AirDefenseBarrel_flash,0,,FALSE,sfx/cannon_fire3.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_Fire_explosion,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_Fire_balls,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_mushcloud,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_spark,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_dustring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_bomb_area,,,,,,,,,,
Air Defense Barrel Hit With Offset,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/mortar_hit_01.ogg,80,0,105,0,95,FALSE,FALSE,AirDefenseBarrel_flash_z_offset,0,,FALSE,sfx/cannon_fire3.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_Fire_explosion_z_offset,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_Fire_balls_z_offset,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_mushcloud_z_offset,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_spark_z_offset,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_dustring_z_offset,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,AirDefenseBarrel_bomb_area_z_offset,,,,,,,,,,
Alliance,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,sfx/xp_gain_06.ogg,80,0,75,0,75,FALSE,FALSE,,0,,FALSE,sfx/alliance_jingle_v2.ogg,0,FALSE,FALSE,90,,
Alliance Castle Pickup,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,100,100,sfx/wall_pickup_01.ogg,80,0,100,0,100,FALSE,FALSE,Grass,0,,FALSE,sfx/alliance_build_pickup_03.ogg,0,FALSE,FALSE,80,,
Alliance Castle Placing,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/cannon_drop2.ogg,60,0,100,0,100,FALSE,FALSE,Place,0,,FALSE,sfx/alliance_build_drop_04.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
AmazonQ ability hit,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,105,95,sfx/rg_atk_hit_01.ogg,80,0,105,0,95,FALSE,FALSE,Spark Trail,0,,FALSE,sfx/rg_atk_hit_01.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,javelin_hit,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,javelin_hit_sharp,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit4,,,,,,,,,,
Ancient Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Ground,FALSE,105,95,sfx/explosion_02.ogg,80,0,105,0,95,FALSE,FALSE,doom_crater,0,,FALSE,sfx/ancient_explo_01.ogg,0,FALSE,FALSE,90,,
,,,,,,,,,0,,,,,,,,,,,,,doom_blast_top,,,,,,,,,,
Angry Baby Dragon,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,Objects,FALSE,100,100,,100,0,95,0,95,FALSE,FALSE,,0,,FALSE,sfx/angry_dragon_01.ogg,0,FALSE,FALSE,80,,
Archer Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,110,90,sfx/arrow_hit_07.ogg,50,0,110,0,90,FALSE,FALSE,,0,,FALSE,sfx/arrow_hit_07.ogg,0,FALSE,FALSE,50,,
