Name,SWF,ExportName,ScaleTimeline,DirectionCount,ParticleEmitter,Effect,StartHeight,IsBallistic,ShadowSWF,ShadowExportName,UseRotate,DirectionFrame,PlayOnce,UseTopLayer,Scale,BallisticHeight,TrajectoryStyle,DestroyedEffect,BounceEffect,StartOffsetFromGunBone,RotateEmitter,RotateEffect,SpawnEffect,3D,DepthBiasFront,DepthBiasBack,UseParentAnimation3D
String,String,String,boolean,int,String,String,int,boolean,String,String,boolean,boolean,boolean,boolean,int,int,int,String,String,boolean,boolean,boolean,String,String,int,int,boolean
AmazonQueen_shield_rogue,sc/hero_rc_rogue_dl_opt.sc,shield_projectile_rogue,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE
AmazonQueen_shield_winter,sc/hero_rc_winter_dl_opt.sc,shield_projectile_winter,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenChamp arrow,sc/buildings.sc,hero_cny_multi_arrow,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenChamp arrow rage,sc/buildings.sc,hero_cny_multi_arrow_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenChess arrow rage,sc/hero_aq_chess_dl_opt.sc,hero_archerqueen_arrow_chess_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenChess_arrow,sc/hero_aq_chess_dl_opt.sc,hero_archerqueen_arrow_chess,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenClashiversary arrow rage,sc/hero_aq_clashiversary_dl_opt.sc,hero_archerqueen_arrow_clashiversary_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenClashiversary_arrow,sc/hero_aq_clashiversary_dl_opt.sc,hero_archerqueen_arrow_clashiversary,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
ArcherQueenCNY arrow,sc/buildings.sc,hero_cny_multi_arrow,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE
