Name,Level,TargetBuilding,RequiredTownHallLevel,BuildTimeD,BuildTimeH,BuildTimeM,BuildTimeS,BuildResource,BuildCost,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,ResourcePer100Hours,ResourceMax,Hitpoints,DPS,DPSLv2,DPSLv3,AltDPS,ProjectileSpellDamageBoost,StrengthWeight,HintPriority,ExpiresSoon
String,int,String,int,int,int,int,int,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean
Elixir Pump Mini Levels,1,Elixir Pump,16,2,0,0,0,Gold,1700000,,,,30000,16500,,,,,,,,10,
,2,,,3,0,0,0,,1500000,,,,60000,33000,,,,,,,,,
,3,,,4,0,0,0,,1300000,,,,,,50,,,,,,,,
Gold Mine Mini Levels,1,Gold Mine,16,2,0,0,0,Elixir,1700000,,,,30000,16500,,,,,,,,10,
,2,,,3,0,0,0,,1500000,,,,60000,33000,,,,,,,,,
,3,,,4,0,0,0,,1300000,,,,,,50,,,,,,,,
Dark Elixir Pump Mini Levels,1,Dark Elixir Pump,16,3,0,0,0,Elixir,5100000,,,,900,210,,,,,,,,15,
,2,,,4,0,0,0,,4500000,,,,1800,420,,,,,,,,,
,3,,,5,0,0,0,,3900000,,,,,,50,,,,,,,,
Tesla Tower Mini Levels,1,Tesla Tower,17,4,0,0,0,Gold,10000000,,,,,,,5,,,,,25,20,
,2,,,6,0,0,0,,6000000,,,,,,50,,,,,,50,,
Dark Tower Mini Levels,1,Dark Tower,16,2,18,0,0,Gold,6500000,,,,,,,10,20,200,,,700,25,TRUE
,2,,,4,6,0,0,,3300000,,,,,,200,,,,,,1400,,
Scattershot Mini Levels,1,Scattershot,17,5,0,0,0,Gold,11000000,,,,,,,5,,,,3,175,25,
,2,,,7,0,0,0,,7000000,,,,,,150,,,,,,350,,
Worker Building Mini Levels,1,Worker Building,16,2,6,0,0,Gold,6000000,,,,,,,7,,,,,90,22,TRUE
,2,,,3,18,0,0,,3000000,,,,,,50,,,,,,180,,
Bow Mini Levels,1,Bow,17,4,12,0,0,Gold,10000000,,,,,,,10,,,,,160,22,
,2,,,6,12,0,0,,6250000,,,,,,100,,,,,,320,,
Mortar Mini Levels,1,Mortar,17,3,12,0,0,Gold,7500000,,,,,,,3,,,,,75,20,
,2,,,5,12,0,0,,5000000,,,,,,75,,,,,,150,,
Firespitter Mini Levels,1,Firespitter,17,6,0,0,0,Gold,12000000,,,,,,,2,,,,,150,25,
,2,,,7,0,0,0,,10000000,,,,,,250,,,,,,200,,
Air Defense Mini Levels,1,Air Defense,17,4,0,0,0,Gold,10000000,,,,,,,20,,,,,75,20,
,2,,,6,0,0,0,,6000000,,,,,,,40,,,,,150,,
Bomb Tower Mini Levels,1,Bomb Tower,17,4,0,0,0,Gold,10000000,,,,,,,5,,,,,75,20,
,2,,,6,0,0,0,,6000000,,,,,,100,,,,,,150,,
Wizard Tower Mini Levels,1,Wizard Tower,17,3,12,0,0,Gold,8000000,,,,,,,4,,,,,100,22,
,2,,,5,12,0,0,,4000000,,,,,,75,,,,,,175,,
Merged Archer Tower Mini Levels,1,Merged Archer Tower,17,5,12,0,0,Gold,11500000,,,,,,,5,,,,,175,25,
,2,,,6,12,0,0,,8000000,,,,,,100,,,,,,350,,
Merged Cannon Mini Levels,1,Merged Cannon,17,5,12,0,0,Gold,11500000,,,,,,,8,,,,,150,24,
,2,,,6,12,0,0,,8000000,,,,,,150,,,,,,300,,
