TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PL,PT,RU,TH,TR,VI
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
TID_ATT_UC_DISAGREE_OK_BUTTON,OK,موافق,好的,OK,Okay,Vale,تأیید,OK,OK,OKE,OK,OK,확인,OK,OK,OK,OK,OK,OK,ตกลง,TAMAM,OK
TID_ATT_UC_DISAGREE_TEXT,"You've blocked tracking in your device's privacy settings.\nTo give tracking consent, please enable tracking in system settings and try again.",لقد حظرت التتبع في إعدادات خصوصية جهازك.\nلمنح الموافقة على التتبع، يرجى تمكين التتبع في إعدادات النظام وإعادة المحاولة.,您已在设备的隐私设置中关闭了追踪功能。\n如果要授权追踪，请在系统设置中启用追踪功能并再试一次。,你已在裝置的隱私權設定中關閉了追蹤功能。\n如果要授權追蹤，請在系統設定中啟用追蹤功能並再試一次。,"Du hast Tracking über die Datenschutzeinstellungen deines Geräts blockiert.\nUm deine Einwilligung zu Tracking zu erteilen, aktiviere es bitte über die Systemeinstellungen und versuche es erneut.","Has desactivado el seguimiento en la configuración de privacidad de tu dispositivo.\nPara autorizar el seguimiento, activa la opción correspondiente en los ajustes del sistema e inténtalo de nuevo.",شما ردیابی را در تنظیمات حریم خصوصی دستگاهتان مسدود کرده‌اید.\nبرای اعلام رضایت نسبت به ردیابی، لطفاً ردیابی را در تنظیمات سیستم فعال کنید و دوباره امتحان کنید.,Olet estänyt seurannan laitteesi yksityisyysasetuksista.\nSalli seuranta järjestelmäasetuksista ja yritä uudelleen.,"Vous avez bloqué le suivi dans les paramètres de confidentialité de votre appareil.\nPour autoriser le suivi, activez le suivi dans les réglages du système et réessayez.","Pelacakan diblokir di pengaturan privasi perangkat.\nUntuk memberi izin pelacakan, aktifkan pelacakan di pengaturan sistem dan coba lagi.","Hai disattivato le opzioni di tracciamento nelle impostazioni sulla privacy del dispositivo.\nPer acconsentire al tracciamento, attiva l'opzione relativa dalle impostazioni di sistema e riprova.",デバイスのプライバシー設定でトラッキングが拒否されています。\n許可するには、設定を変更してもう一度お試しください。,"기기의 개인정보 설정에서 추적이 차단되어 있습니다.\n추적에 동의하시려면, 시스템 설정에서 추적을 활성화하신 후에 다시 시도해 주세요.","Anda telah menyekat penjejakan di pengesetan privasi peranti anda.\nUntuk membenarkan penjejakan, sila aktifkan penjejakan di pengesetan sistem dan cuba lagi.",Je hebt tracking geblokkeerd in de privacyinstellingen van je apparaat.\nGeef toestemming voor tracking via de systeeminstellingen en probeer het opnieuw.,Du har blokkert sporing i enhetens personvernsinnstillinger.\nFor å gi ditt samtykke til sporing må du aktivere det i systeminnstillingene og prøve igjen.,"Śledzenie jest zablokowane w ustawieniach prywatności Twojego urządzenia.\nAby udzielić pozwolenia na śledzenie, włącz możliwość śledzenia w ustawieniach systemu i spróbuj ponownie.","Você bloqueou o rastreamento nas configurações de privacidade do dispositivo.\nPara permiti-lo, ative a opção de rastreamento nas configurações do sistema e tente de novo.","Вы отключили отслеживание в настройках конфиденциальности вашего устройства.\nЧтобы разрешить отслеживание, активируйте его в системных настройках и повторите попытку.",ท่านปิดการติดตามในการตั้งค่าความเป็นส่วนตัวของอุปกรณ์ของท่าน\nโปรดเปิดใช้การติดตามในการตั้งค่าระบบและลองอีกครั้งเพื่อยินยอมให้ติดตาม,Cihazının gizlilik ayarlarından takibi engellemişsin.\nTakibe izin vermek için lütfen sistem ayarlarından takibi etkinleştir ve tekrar dene.,"Bạn đã chặn tính năng theo dõi trong phần cài đặt quyền riêng tư của thiết bị.\nĐể cho phép theo dõi, vui lòng bật theo dõi trong cài đặt của hệ thống và thử lại lần nữa."
TID_ATT_UC_DISAGREE_TITLE,Enable tracking,تمكين التتبع,启用追踪,啟用追蹤,Tracking aktivieren,Activar seguimiento,فعال کردن ردیابی,Salli seuranta,Activer le suivi,Aktifkan pelacakan,Attiva il tracciamento,トラッキングを許可,추적 활성화,Aktifkan penjejakan,Tracking inschakelen,Aktiver sporing,Pozwól na śledzenie,Ativar rastreamento,Включить отслеживание,เปิดใช้การติดตาม,Takibi etkinleştir,Bật theo dõi
TID_CHARACTER_INFO_TREANT,"This earth warrior is so in tune with nature she doesn't need to walk herself. Riding into battle atop a tough tree root, Root Rider can smash through Walls and slam Defenses into dust.",تنسجم هذه المحاربة الأرضية مع الطبيعة لدرجة أنها لا تحتاج إلى المشي بنفسها. تخوض المعركة وهي تعتلي جذر شجرة قويًا، يمكن لمقاتلة الأدغال تحطيم الجدران وتحطيم الدفاعات إلى فتات.,这位大地战士与大自然融为一体，甚至不用自己走路，而是骑在坚硬无比的根蔓上作战。根蔓骑士可摧毁城墙，将防御建筑夷为平地。,這位大地鬥士幾乎與自然合而為一，她甚至不需要自己走路，而是騎在堅硬無比的樹根上作戰。棘木騎士可以輕鬆摧毀城牆，將防禦建築夷為平地。,"Diese Kriegerin der Erde ist so sehr im Einklang mit der Natur, dass sie nicht einmal selbst laufen muss. Die Wurzelkriegerin reitet auf einer Baumwurzel in den Kampf, durchbricht dabei Mauern und mäht Verteidigungsanlagen nieder.","Esta terrenal guerrera está tan en armonía con la naturaleza que no necesita caminar, sino que arremete en batalla a lomos de una raíz de árbol capaz de arrollar los muros y pulverizar las defensas.",این جنگجوی زمینی به‌قدری با طبیعت هماهنگ است که لازم نیست خودش راه برود. ریشه‌سوار، سوار بر ریشه درخت سرسختی، که می‌تواند دیوارها را خرد کند و دفاع‌ها را بکوبد و با خاک یکسان کند، وارد نبرد می‌شود.,"Tällä soturilla on niin erityinen suhde luontoon, ettei hänen tarvitse edes kävellä. Sen sijaan juurakkonoita ratsastaa taisteluun puunjuurella, joka tekee vihollisten muureista ja puolustuksista selvää jälkeä.","Cette guerrière sylvestre connaît une telle harmonie avec la nature qu'elle n'a même pas besoin de marcher. Transportée par une racine, elle peut frapper les défenses et les réduire en poussière.","Saat alam menjadi sahabat, kamu tak akan pernah sendiri ke mana pun kamu pergi, termasuk ke Arena! Dengan bantuan ekosistem, Si Penunggang Akar akan menunggangi akar pohon yang mampu mendobrak tembok dan menghancurkan pertahanan hingga menjadi debu. Alam pasti akan menemukan jalannya!","Questa figlia della Terra è così in simbiosi con la natura da non dover neanche camminare: si lancia all'attacco in cima a una robusta radice, che usa per polverizzare le mura e ridurre le difese in poltiglia.",大自然と心を通わせるルートライダーは、丈夫な木の根っこに乗り、行く手を阻む壁や防衛設備を粉砕します。,자연과 한 몸이 된 땅의 전사로 걷지 않고도 움직일 수 있습니다. 단단한 나무뿌리를 타고 전장에 나타나 적의 벽과 방어를 먼지로 만들어 버립니다.,Pahlawan bumi ini begitu mesra dengan alam sehingga tidak perlu berjalan kaki. Dia menunggang akar pokok teguh ke medan pertempuran yang boleh meremukkan benteng dan pertahanan.,Deze aardekrijger is zo in harmonie met de natuur dat ze zelf niet hoeft te lopen. De stronkrijder rijdt het gevecht binnen op een stevige boomwortel waarmee ze muren en verdedigingswerken verplettert.,Denne jordkrigeren er så i ett med naturen at hun ikke engang trenger å gå selv. I stedet rir rotrytteren ut i strid på en solid trerot som kan smadre seg gjennom murer og lage støv av forsvar.,"Ta wojowniczka jest tak dobrze zsynchronizowana z naturą, że nie musi sama chodzić. Władczyni korzeni rusza do bitwy, stojąc na korzeniu drzewa, które przebija się przez mury i rozbija stanowiska obronne.",Essa guerreira está em tanta sintonia com a natureza e a terra que nem precisa andar. A Poderosa Hera chega na batalha surfando numa raiz de árvore capaz de derrubar muros e pulverizar defesas.,Как истинное дитя природы лесная всадница въезжает в битву верхом на могучем древесном корне. Она легко может проломить стены и разнести в щепки оборонные сооружения.,นักรบรักษ์โลกคนนี้เป็นหนึ่งเดียวกับธรรมชาติเสียจนเธอไม่ต้องออกแรงเดินเองด้วยซ้ำ เธอเข้าสู่สนามรบบนรากไม้สุดแข็งแกร่ง ผู้พิทักษ์พงไพรสามารถทะลวงกำแพงและฟาดการป้องกันให้เป็นผุยผงได้,"Bu toprak savaşçısı doğayla o kadar iç içe ki yürümesine bile gerek kalmıyor. Orman Binicisi, onu taşıyan sağlam ağaç kökleri üzerinde savaşa girip duvarları yıkıp geçiyor ve savunmaları yerle bir ediyor.","Chiến binh trái đất này rất hòa hợp với thiên nhiên, đến mức cô ấy không cần phải tự mình bước đi. Kỵ sĩ rễ cây sẽ cưỡi lên rễ cây cứng cáp xông pha chiến trường và nghiền nát Tường thành cùng hệ thống Phòng thủ của kẻ địch."
TID_EVENTARMY_TH10_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH10_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH11_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH11_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH12_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
