Name,ParticleCount,EmissionTime,MinLife,MaxLife,MinHorizAngle,MaxHorizAngle,MinVertAngle,MaxVertAngle,MinSpeed,MaxSpeed,StartX,StartY,StartZ,TargetedEndZ,Gravity,OrientToMovement,OrientToParentType,BounceFromGround,IsIsoParticle,IsoLayer,ParticleSwf,ParticleExportName,AdditiveBlend,Inertia,Slowdown,StartScale,EndScale,MinRotate,MaxRotate,ParticleFadeOutTime,ScaleTimeline,FadeInTime,FadeOutTime,StartAngleMin,StartAngleMax,ScaleRandomMin,ScaleRandomMax,Alpha,OrientToParent,StartRadiusMin,StartRadiusMax,StartRadius
String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,String,boolean,boolean,String,String,String,boolean,int,int,int,int,int,int,int,boolean,int,int,int,int,int,int,int,boolean,int,int,int
Air_blaster_hit_explo,8,100,500,1500,0,360,15,33,200,400,0,0,10,0,400,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spark_flame2,TRUE,10,0,100,10,-90,90,10,FALSE,10,100,0,0,100,100,100,,30,30,
Air_blaster_hit_explo_center,3,100,400,600,0,360,15,80,1,2,0,0,5,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spark,TRUE,0,0,300,10,-90,90,10,FALSE,10,50,0,0,100,100,100,,30,30,
Air_blaster_test,1,10,3200,3200,0,0,0,0,200,200,0,0,100,0,0,TRUE,HorizontalAngle,FALSE,FALSE,Object,sc/buildings.sc,test_airmortar_fx,FALSE,100,0,100,100,0,0,10,TRUE,10,10,0,0,100,100,100,,100,100,
Air_bomb_area,1,100,1000,1041,0,0,0,0,1,10,0,0,100,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,damage_radius_bomb,TRUE,100,0,350,360,0,0,1041,TRUE,0,0,0,0,100,100,80,,0,0,
Air_ring,2,20,3200,3200,0,360,0,360,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,isometric_soft_smokering1,FALSE,100,0,180,220,0,0,400,TRUE,350,100,0,0,100,100,100,,1,1,
Air_ring2,1,20,2800,3200,0,360,0,360,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,isometric_soft_smoke1,FALSE,100,0,100,300,0,0,300,FALSE,150,1200,0,0,100,100,100,,1,1,
Air_ring_start,1,20,400,600,0,360,0,360,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,isometric_soft_smokering1,FALSE,100,0,33,220,0,0,300,FALSE,10,300,0,0,100,100,100,,1,1,
Air_smoke_swirl,12,1200,600,1000,0,360,0,360,2,3,0,0,1,0,0,TRUE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,smoke_swirl1,FALSE,0,0,3,5,0,0,10,TRUE,0,0,0,0,100,100,100,,100,100,
,,,,,,,,,,,,,,,,,,,,,,smoke_swirl2,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,smoke_swirl3,FALSE,,,,,,,,,,,,,,,,,,,
