TID,PL
String,String
TID_10TH_CLASHIVERSARY_SCENERY,Sceneria na 10. rocznicę Clash
TID_2012_CLASHMAS_TREE,Drzewko świąteczne 2012
TID_2013_CLASHMAS_TREE,Drzewko świąteczne 2013
TID_2014_CLASHMAS_TREE,Drzewko świąteczne 2014
TID_2015_CLASHMAS_TREE,Drzewko świąteczne 2015
TID_2016_CLASHMAS_TREE,Drzewko świąteczne 2016
TID_2017_CLASHMAS_TREE,Drzewko świąteczne 2017
TID_2018_CLASHMAS_TREE,Drzewko świąteczne 2018
TID_2019_CLASHMAS_TREE,Drzewko świąteczne 2019
TID_2020_CLASHMAS_TREE,Drzewko świąteczne 2020
TID_2021_CLASHMAS_TREE,Drzewko świąteczne 2021
TID_2022_CLASHMAS_TREE,Drzewko świąteczne 2022
TID_2023_CLASHMAS_TREE,Drzewko świąteczne 2023
TID_2024_CLASHMAS_TREE,Drzewko świąteczne 2024
TID_2025_CLASHMAS_TREE,Drzewko świąteczne 2025
TID_3_WIN_BONUS,Bonus za 3 wygrane
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOKS_AND_ALLRUNES_INFO_9999,• <booster1> x pierścienie muru – natychmiast ulepsz mury (ulepszenie wysokopoziomowych murów może wymagać zastosowania kilku pierścieni).\n• <booster2> x runa eliksiru – natychmiast zapełnij zbiorniki eliksiru.\n• <booster3> x runa złota – natychmiast zapełnij magazyny złota.\n• <booster4> x runa mrocznego eliksiru – natychmiast zapełnij zbiornik mrocznego eliksiru.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 2 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOKS_AND_RUNES_INFO_4999,• <booster1> x księga herosów – natychmiast ukończ rozpoczęte ulepszanie herosa.\n• <booster2> x księga struktur – natychmiast ukończ ulepszanie dowolnej struktury.\n• <booster3> x runa złota – natychmiast zapełnij magazyny złota.\n• <booster4> x runa mrocznego eliksiru – natychmiast zapełnij zbiorniki mrocznego eliksiru.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 4 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOKS_AND_RUNES_INFO_9999,• <booster1> x księga herosów – natychmiast ukończ rozpoczęte ulepszanie herosa.\n• <booster2> x księga struktur – natychmiast ukończ ulepszanie dowolnej struktury.\n• <booster3> x runa złota – natychmiast zapełnij magazyny złota.\n• <booster4> x runa mrocznego eliksiru – natychmiast zapełnij zbiorniki mrocznego eliksiru.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 2 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOK_AND_GOLD_ELIXIR_INFO_999,• Złoto: <res0>\n• Eliksir: <res1>\n<booster1> x księga struktur – natychmiast ukończ ulepszanie dowolnej struktury.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 20 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOK_AND_GOLD_INFO_999,• Złoto: <res0>\n• <booster1> x księga struktur – natychmiast ukończ ulepszanie dowolnej struktury.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 20 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_BOOK_AND_RUNES_INFO_1999,• <booster1> x runa złota – natychmiast zapełnij magazyny złota.\n• <booster2> x runa mrocznego eliksiru – natychmiast zapełnij zbiorniki mrocznego eliksiru.\n• <booster3> x księga struktur – natychmiast ukończ ulepszanie dowolnej struktury.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 10 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_POTION_AND_GOLD_ELIXIR_INFO_1999,"• Złoto: <res0>\n• Eliksir: <res1>\n<booster1> x mikstura Budowniczego –sprawia, że Budowniczy pracuje 10 razy szybciej przez godzinę.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 10 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas."
TID_6ANNIVERSARY_OFFER_MAGICITEMS_POTION_AND_GOLD_ELIXIR_INFO_999,"• Złoto: <res0>\n• Eliksir: <res1>\n<booster1> x mikstura Budowniczego –sprawia, że Budowniczy pracuje 10 razy szybciej przez godzinę.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 20 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas."
TID_6ANNIVERSARY_OFFER_MAGICITEMS_RING_AND_ALLRUNES_INFO_4999,• <booster1> x pierścienie muru – natychmiast ulepsz mury (ulepszenie wysokopoziomowych murów może wymagać zastosowania kilku pierścieni).\n• <booster2> x runa eliksiru – natychmiast zapełnij zbiorniki eliksiru.\n• <booster3> x runa złota – natychmiast zapełnij magazyny złota.\n• <booster4> x runa mrocznego eliksiru – natychmiast zapełnij zbiornik mrocznego eliksiru.\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 4 razy.\n\nZdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_6ANNIVERSARY_OFFER_MAGICITEMS_RING_AND_GOLD_ELIXIR_INFO_1999,• Złoto: <res0>\n• Eliksir: <res1>\n• <booster1> x pierścienie muru – natychmiast ulepsz mury (ulepszenie wysokopoziomowych murów może wymagać zastosowania kilku pierścieni).\n\n• Brak ograniczeń magazynowych.\n• Tę ofertę możesz kupić 10 razy.\n\n• Zdobądź teraz pakiet rocznicowy dostępny przez ograniczony czas.
TID_9TH_CLASHIVERSARY_SCENERY,Sceneria na 9. rocznicę Clash
TID_ABILITY,Zdolność specjalna
TID_ABILITY_COOLDOWN,Odnowienie: <number> s
TID_ABILITY_COOLDOWN_TIME,Czas odnowienia:
TID_ABILITY_FREE_KICK,Rzut wolny
TID_ABILITY_FREE_KICK_INFO,"Celuje w najbliższe stanowisko obrony, zadając <num> obr"
TID_ABILITY_THROW_IN,Rzut z autu
TID_ABILITY_THROW_IN_INFO,"Odbija się dwa razy, niszczy mury i zadaje <num> obr. przy każdym uderzeniu"
TID_ABOUT,"Twórcy\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2025 Supercell Ltd. Wszelkie prawa zastrzeżone.\nPatent USA w toku\nKażde użycie tego oprogramowania podlega Regulaminowi oraz Polityce prywatności, które można znaleźć na stronie www.supercell.com."
TID_ABOUT_BUTTON,Informacje
TID_ABOUT_FACEBOOK,Facebook
TID_ABOUT_TITLE,Informacje
TID_ABOUT_TWITTER,Twitter/X
TID_ABOUT_WEIBO,Weibo
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,Zaakceptować prośbę?
TID_ACCEPT_EXISTING_CHALLENGE,Przyjąć wyzwanie?
TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE,"Wróć do Osady, by przyjąć wyzwanie."
TID_ACCEPT_FRIEND_CONFIRMATION,Dodać gracza <name> do znajomych w Clash?
TID_ACCEPT_FRIEND_CONFIRMATION_TITLE,Dodać znajomego?
TID_ACCEPT_FRIEND_ERROR_BANNED,Gracz został zablokowany. Nie można go dodać do znajomych.
TID_ACCEPT_FRIEND_ERROR_GENERIC,"Nie udało się dodać znajomego, spróbuj ponownie później"
TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS,Nie udało się dodać znajomego. Twoja lista znajomych jest pełna.
TID_ACCEPT_NOT_AVAILABLE_IN_MODE,"Wróć do Osady, by odpowiedzieć na prośby"
TID_ACCEPT_PRIVACY_SUGGESTIONS,Zaakceptuj
TID_ACCONT_LOCKED_TEXT,"Twoje konto zostało zablokowane ze względów bezpieczeństwa. Aby je odzyskać, wprowadź kod odblokowujący."
TID_ACCOUNT,Urządzenia
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,Konto zostało wyłączone z powodu braku aktywności i nie można go już odzyskać.
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,Konto zostało wyłączone z powodu prośby o usunięcie i nie można go już odzyskać.
TID_ACCOUNT_DELETION_SOON_WARNING_TEXT,Zgodnie z prośbą Twoje konto zostanie wkrótce usunięte.
TID_ACCOUNT_DELETION_WARNING_CONTACT_PS,"Prosisz o usunięcie tego konta. Masz <time>, by anulować usunięcie."
TID_ACCOUNT_DELETION_WARNING_TEXT,"Zgodnie z prośbą Twoje konto zostanie usunięte za <time>. Jeśli zmienisz zdanie, skontaktuj się z pomocą, by anulować prośbę o usunięcie."
TID_ACCOUNT_DELETION_WARNING_TITLE,Ostrzeżenie o usunięciu konta
TID_ACCOUNT_DISABLED_TEXT,Konto wyłączone
TID_ACCOUNT_LOCKED_INVALID_CODE,Błędny kod odblokowujący
TID_ACCOUNT_LOCKED_TEXT2,Tutaj wpisz kod odblokowujący:
TID_ACCOUNT_LOCKED_TITLE,Konto zablokowane
TID_ACCOUNT_SWITCHING_NOT_SUPPORTED,"Jesteś zalogowany(-na) na koncie GameCenter, które należy do osady wodza <name>.\n\nTa osada jest dostępna do gry, ale przełączenie na to konto nie jest obsługiwane w przypadku wersji iOS niższej niż 7. By przełączyć na to konto, zaktualizuj wersję iOS.\n\nWięcej informacji o uaktualnianiu iOS:\n http://support.apple.com/kb/HT4623"
TID_ACHIEVEMENTS_COMPLETED,Ukończone:
TID_ACHIEVEMENTS_INFO,Osiągnięcia również w Game Center
TID_ACHIEVEMENTS_INFO_ANDROID,Osiągnięcia również w Google Play
TID_ACHIEVEMENTS_PROGRESS,Postępy
TID_ACHIEVEMENTS_REWARD,Nagrody:
TID_ACHIEVEMENTS_VILLAGE1,Osiągnięcia Osady Głównej
TID_ACHIEVEMENTS_VILLAGE2,Osiągnięcia Bazy Budowniczego
TID_ACHIEVEMENTS_VILLAGE3,Stolica Klanu
