Name,TrophyLimitLow,TID,TIDShort,IconSWF,IconExportName,LeagueBannerIcon,LeagueBannerIconNum,LeagueBannerIconHUD,GoldRewardBase,ElixirRewardBase,RewardStar1,RewardStar2,RewardStar3,RewardStar4,RewardStar5,RewardStar6,StarBonusNumStars,StarBonusGold,StarBonusElixir,TrophyLoseMultiplier,SeasonTrophyReset,MaxDiamondCost
String,int,String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int
Wood5,0,TID_LEAGUE_WOOD5,TID_LEAGUE_WOOD5_SHORT,sc/ui.sc,bb2_icon_league_wood5,bb2_icon_league_wood,bb2_icon_league_wood_big5,bb2_icon_league_wood_big3,1500,7500,2000,2000,2000,0,0,0,7,5000,5000,0,,
Wood4,100,TID_LEAGUE_WOOD4,TID_LEAGUE_WOOD4_SHORT,sc/ui.sc,bb2_icon_league_wood4,bb2_icon_league_wood,bb2_icon_league_wood_big4,bb2_icon_league_wood_big3,1500,10500,3000,3000,3000,0,0,0,7,15000,15000,8,,
Wood3,200,TID_LEAGUE_WOOD3,TID_LEAGUE_WOOD3_SHORT,sc/ui.sc,bb2_icon_league_wood3,bb2_icon_league_wood,bb2_icon_league_wood_big3,bb2_icon_league_wood_big3,1500,13500,4000,4000,4000,0,0,0,7,22500,22500,15,,
Wood2,300,TID_LEAGUE_WOOD2,TID_LEAGUE_WOOD2_SHORT,sc/ui.sc,bb2_icon_league_wood2,bb2_icon_league_wood,bb2_icon_league_wood_big2,bb2_icon_league_wood_big2,1500,16500,5000,5000,5000,0,0,0,7,30000,30000,23,,
Wood1,400,TID_LEAGUE_WOOD1,TID_LEAGUE_WOOD1_SHORT,sc/ui.sc,bb2_icon_league_wood1,bb2_icon_league_wood,bb2_icon_league_wood_big1,bb2_icon_league_wood_big1,1500,18000,5500,5500,5500,0,0,0,7,40000,40000,30,,
Clay5,500,TID_LEAGUE_CLAY5,TID_LEAGUE_CLAY5_SHORT,sc/ui.sc,bb2_icon_league_clay5,bb2_icon_league_clay,bb2_icon_league_clay_big5,bb2_icon_league_clay_big5,1500,20000,6500,6000,6000,0,0,0,7,50000,50000,36,,
Clay4,600,TID_LEAGUE_CLAY4,TID_LEAGUE_CLAY4_SHORT,sc/ui.sc,bb2_icon_league_clay4,bb2_icon_league_clay,bb2_icon_league_clay_big4,bb2_icon_league_clay_big4,1000,22500,7500,6500,6500,0,0,0,7,60000,60000,43,,
Clay3,700,TID_LEAGUE_CLAY3,TID_LEAGUE_CLAY3_SHORT,sc/ui.sc,bb2_icon_league_clay3,bb2_icon_league_clay,bb2_icon_league_clay_big3,bb2_icon_league_clay_big3,1000,25000,9000,7000,7000,0,0,0,7,70000,70000,49,,
Clay2,800,TID_LEAGUE_CLAY2,TID_LEAGUE_CLAY2_SHORT,sc/ui.sc,bb2_icon_league_clay2,bb2_icon_league_clay,bb2_icon_league_clay_big2,bb2_icon_league_clay_big2,500,27500,10000,7500,7500,0,0,0,7,80000,80000,55,,
Clay1,900,TID_LEAGUE_CLAY1,TID_LEAGUE_CLAY1_SHORT,sc/ui.sc,bb2_icon_league_clay1,bb2_icon_league_clay,bb2_icon_league_clay_big1,bb2_icon_league_clay_big1,500,30000,11500,8000,8000,0,0,0,7,100000,100000,60,,
Stone5,1000,TID_LEAGUE_STONE5,TID_LEAGUE_STONE5_SHORT,sc/ui.sc,bb2_icon_league_stone5,bb2_icon_league_stone,bb2_icon_league_stone_big5,bb2_icon_league_stone_big5,0,34000,13000,9000,9000,0,0,0,7,120000,120000,70,,
Stone4,1100,TID_LEAGUE_STONE4,TID_LEAGUE_STONE4_SHORT,sc/ui.sc,bb2_icon_league_stone4,bb2_icon_league_stone,bb2_icon_league_stone_big4,bb2_icon_league_stone_big4,0,38000,15000,10000,10000,0,0,0,7,130000,130000,75,,
Stone3,1200,TID_LEAGUE_STONE3,TID_LEAGUE_STONE3_SHORT,sc/ui.sc,bb2_icon_league_stone3,bb2_icon_league_stone,bb2_icon_league_stone_big3,bb2_icon_league_stone_big3,0,42000,15000,11000,11000,0,0,0,7,140000,140000,78,,
Stone2,1300,TID_LEAGUE_STONE2,TID_LEAGUE_STONE2_SHORT,sc/ui.sc,bb2_icon_league_stone2,bb2_icon_league_stone,bb2_icon_league_stone_big2,bb2_icon_league_stone_big2,0,46000,15000,12000,12000,0,0,0,7,145000,145000,80,,
Stone1,1400,TID_LEAGUE_STONE1,TID_LEAGUE_STONE1_SHORT,sc/ui.sc,bb2_icon_league_stone1,bb2_icon_league_stone,bb2_icon_league_stone_big1,bb2_icon_league_stone_big1,0,50000,15000,13000,13000,0,0,0,7,150000,150000,83,,
