Name,EnabledByCalendar,ArmyName,ArmyNameTID,CreatorName,ArmyType,MinRequiredTownHallLevel,MaxRequiredTownHallLevel,LanguageCode,ArmyCode,GuideUrl
String,boolean,String,String,String,String,int,int,String,String,String
TH10_Zap_N_Drag,,Zap 'n Drag,TID_STARTERARMY_TH10_AIR_RAID,,Suggested,10,11,,h1e17_2-6e42_43u12x8s7x0-2x10-1x1,
TH10_Go_Witch_2,,Go-Witch 2.0,TID_STARTERARMY_TH10_GO_WITCH_2,,Suggested,10,11,,h1e3_2-0e8_1u3x13-12x15-3x4s8x0-2x10-1x9,
TH10_Bowler_Smash,,Bowler Smash,TID_STARTERARMY_TH10_BOWLER_SMASH,,Suggested,10,11,,h1e3_2-0e8_1u4x7-4x9-4x15-6x22s3x1-1x9-2x3,
TH11_Release_The_Dragons,,Release the Dragons,TID_STARTERARMY_TH11_DRAGONS,,Suggested,11,12,,h6e42_43-1e17_2-2m1e4_5u1x23-6x5-11x8s3x10-6x0-1x2,
TH11_Go_Witch_3,,Go-Witch 3.0,TID_STARTERARMY_TH11_GO_WITCH_3,,Suggested,11,12,,h0e8_11-1e2_3-2e4_5u2x13-15x15-3x6-4x4s1x9-2x10-8x0,
TH11_Electro_Storm,,Electro Storm,TID_STARTERARMY_TH11_ELECTRO_DRAGONS,,Suggested,11,12,,h6e42_43-1e2_17-2m1e4_24u10x5-7x59s3x2-5x5,
TH11_Hybrid,,Hybrid,TID_STARTERARMY_TH11_OVER_AND_UNDER,,Suggested,11,12,,h0e1_11-1e2_3-2e4_5u5x7-6x4-18x24-14x11s3x1-2x2-1x9,
TH12_LavaLoon_2,,LavaLoon 2.0,TID_STARTERARMY_TH12_LAVALOON_2,,Suggested,12,13,,h6e43_44-1e17_20-2m1e4_5u3x17-32x5-15x10-1x62s3x2-2x1-1x9,
TH12_Fire_In_The_Sky_3,,Fire in the Sky 3.0,TID_STARTERARMY_TH12_FIRE_IN_THE_SKY_3,,Suggested,12,13,,h1e20_17-6e44_43-2m1e24_4u8x5-11x8-2x23-1x62s6x0-1x2-3x10,
TH12_Hybrid_2,,Hybrid 2.0,TID_STARTERARMY_TH12_DIG_AND_RIDE,,Suggested,12,13,,h1e20_3-0e11_1-2e4_5u5x7-6x4-18x24-18x11-1x51s3x1-2x2-1x9,
TH12_Go_Witch_4,,Go-Witch 4.0,TID_STARTERARMY_TH12_GO_WITCH_4,,Suggested,12,13,,h0e8_1-2e4_5-1e20_17u2x13-2x58-15x15-5x4-1x51s2x10-8x0-1x5,
TH13_Hybrid_3,,Hybrid 3.0,TID_STARTERARMY_TH13_HOGMINER,,Suggested,13,14,,h0e8_0-1e3_20-2e4_34-4e6_7u5x7-7x4-21x24-18x11-1x75s2x1-2x2-3x5,
TH13_Electro_Storm_2,,Electro Airways,TID_STARTERARMY_TH13_ELECTRO_DRAGONS,,Suggested,13,14,,h1e17_20-6e42_43-2m1e24_4-4e6_7u8x5-2x23-8x59-1x62s4x2-3x5,
TH13_Yeti_Bats,,Yeti Swarm,TID_STARTERARMY_TH13_YETIWITCH,,Suggested,13,14,,h0e8_1-1e17_20-2e4_34-4e6_7u10x53-10x15-1x87s4x5-5x28-1x2,
TH13_Hydra,,Dragonfire,TID_STARTERARMY_TH13_DRAGONFIRE,,Suggested,13,14,,h0e11_1-1e17_20-6e43_44-2m1e4_34u7x5-6x8-5x65-2x23-1x62s4x2-3x5,
TH14_Dragon_Tactics,,Drag and Drop,TID_STARTERARMY_TH14_DRAGONS,,Suggested,14,15,,h0p1e8_0-1p3e17_20-6p0e43_42-2m1p2e4_34i1x8-5x5-1x62d1x2-1x9u12x5-12x8-1x62s4x2-3x5,
TH14_Intro_To_Electro,,Shock Starter,TID_STARTERARMY_TH14_ELECTROTITAN,,Suggested,14,15,,h0p1e8_0-1p3e3_20-2p2e4_34-4p0e6_9i5x12-1x11-1x75d1x2-1x9u5x7-4x95-2x58-4x53-1x75s3x2-2x3-1x5,
TH14_Electro_Storm_3,,Electro Storm 2,TID_STARTERARMY_TH14_ELECTRIC_AIR,,Suggested,14,15,,h0p1e1_0-1p3e17_20-2m1p2e4_34-6p0e44_43i9x5-1x62d1x2-1x5u10x5-1x23-8x59-1x62s4x2-3x5,
TH14_LavaLoon_3,,LavaLoon 3.0,TID_STARTERARMY_TH14_LAVALOON_3,,Suggested,14,15,,h0p1e8_0-1p3e17_20-2p2e4_34-6p0e44_43i5x5-1x8-1x62d1x2-1x9u4x17-28x5-20x10-1x62s3x2-1x5-2x1,
TH15_Sequel_To_Electro,,Electric Strikers,TID_STARTERARMY_TH15_ELECTROTITAN,,Suggested,15,16,,h0p4e8_1-1p3e3_20-2p7e4_34-4p8e12_9i6x12-2x1-1x75d1x2-1x5u5x7-5x95-5x53-1x75s3x2-3x5-1x3,
