Name,TID,TIDShort,TIDLeague,IconSWF,IconExportName,LeagueBannerIcon,LeagueBannerIconNum,LeagueBannerIconHUD,Division,GoldReward,ElixirReward,DarkElixirReward,GoldRewardStarBonus,ElixirRewardStarBonus,DarkElixirRewardStarBonus,CommonOreRewardStarBonus,RareOreRewardStarBonus,EpicOreRewardStarBonus,GroupSizeMin,GroupSizeMax,CandidateCountMin,CandidateCountMinInit,DemotePercentage,PromotePercentage,DemoteEnabled,PromoteEnabled,MatchmakingPenaltyStrengthDifference,MatchmakingPenaltyDefenseCountDifference,MatchmakingPenaltyPreviouslyAttacked,MatchmakingPenaltyClanMember,TH,MaxLootGold,MaxLootElixir,MaxLootDarkElixir,MaxBattleCount,BattleModifier,TrophyFloor,TopClanScore
String,String,String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,boolean,boolean,int,int,int,int,int,int,int,int,int,String,int,int
Unranked,TID_LEAGUE_TIER_UNRANKED,TID_LEAGUE_TIER_UNRANKED,TID_LEAGUE_TIER_UNRANKED,sc/ui.sc,icon_2025_league_unranked,icon_2025_league_unranked,icon_2025_league_unranked,icon_2025_league_small_empty,1,100,100,0,1000,1000,0,0,0,0,100,100,200,10000,0,0,FALSE,TRUE,1,100,300,200,1,,,,0,,0,0
,,,,,,,,,,300,300,0,20000,20000,0,0,0,0,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,400,400,0,40000,40000,0,0,0,0,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,,500,500,0,50000,50000,0,0,0,0,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,,600,600,0,60000,60000,0,0,0,0,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,700,700,0,150000,150000,0,0,0,0,,,,,,,,,,,,,6,,,,,,,
,,,,,,,,,,800,800,80,160000,160000,800,0,0,0,,,,,,,,,,,,,7,,,,,,,
,,,,,,,,,,1600,1600,120,200000,200000,960,240,16,0,,,,,,,,,,,,,8,,,,,,,
,,,,,,,,,,2400,2400,160,240000,240000,1160,280,17,0,,,,,,,,,,,,,9,,,,,,,
,,,,,,,,,,4000,4000,200,280000,280000,1360,300,18,0,,,,,,,,,,,,,10,,,,,,,
,,,,,,,,,,12000,12000,280,360000,360000,1760,340,20,0,,,,,,,,,,,,,11,,,,,,,
,,,,,,,,,,24000,24000,400,440000,440000,2160,380,22,0,,,,,,,,,,,,,12,,,,,,,
,,,,,,,,,,60000,60000,640,560000,560000,2760,440,26,0,,,,,,,,,,,,,13,,,,,,,
,,,,,,,,,,80000,80000,720,600000,600000,2960,460,28,1,,,,,,,,,,,,,14,,,,,,,
,,,,,,,,,,208000,208000,1360,780000,780000,3840,580,36,1,,,,,,,,,,,,,15,,,,,,,
,,,,,,,,,,240000,240000,1680,860000,860000,4160,720,42,1,,,,,,,,,,,,,16,,,,,,,
,,,,,,,,,,272000,272000,2000,928000,928000,4440,800,46,1,,,,,,,,,,,,,17,,,,,,,
,,,,,,,,,,280000,280000,2040,936000,936000,4480,800,46,1,,,,,,,,,,,,,18,,,,,,,
Skeleton3,TID_LEAGUE_TIER_1_RANK_3,TID_LEAGUE_TIER_1_RANK_3_SHORT,TID_LEAGUE_TIER_1,sc/ui.sc,icon_2025_league_skeleton_rank3,icon_2025_league_skeleton,icon_2025_league_skeleton_level,icon_2025_league_small_skeleton_level,3,,,,,,,,,,15,100,200,10000,0,50,TRUE,TRUE,1,100,300,200,,,,,6,,0,100
,,,,,,,,,,1000,1000,100,200000,200000,1000,0,0,0,,,,,,,,,,,,,7,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,8,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,9,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,10,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,11,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,12,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,13,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,14,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,15,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,16,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,17,300000,300000,1000,,,,
,,,,,,,,,,1000,1000,100,200000,200000,1000,300,20,0,,,,,,,,,,,,,18,300000,300000,1000,,,,
Skeleton2,TID_LEAGUE_TIER_1_RANK_2,TID_LEAGUE_TIER_1_RANK_2_SHORT,TID_LEAGUE_TIER_1,sc/ui.sc,icon_2025_league_skeleton_rank2,icon_2025_league_skeleton,icon_2025_league_skeleton_level,icon_2025_league_small_skeleton_level,2,,,,,,,,,,15,100,200,10000,10,50,TRUE,TRUE,1,100,300,200,,,,,6,,0,200
,,,,,,,,,,1500,1500,125,225000,225000,1100,0,0,0,,,,,,,,,,,,,7,350000,350000,1500,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,8,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,9,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,10,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,11,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,12,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,13,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,14,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,15,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,16,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,17,400000,400000,2000,,,,
,,,,,,,,,,2000,2000,150,250000,250000,1200,325,21,0,,,,,,,,,,,,,18,400000,400000,2000,,,,
Skeleton1,TID_LEAGUE_TIER_1_RANK_1,TID_LEAGUE_TIER_1_RANK_1_SHORT,TID_LEAGUE_TIER_1,sc/ui.sc,icon_2025_league_skeleton_rank1,icon_2025_league_skeleton,icon_2025_league_skeleton_level,icon_2025_league_small_skeleton_level,1,,,,,,,,,,15,100,200,10000,10,50,TRUE,TRUE,1,100,300,200,,,,,6,,0,300
,,,,,,,,,,2000,2000,150,250000,250000,1225,0,0,0,,,,,,,,,,,,,7,400000,400000,2500,,,,
,,,,,,,,,,2500,2500,175,275000,275000,1325,350,22,0,,,,,,,,,,,,,8,450000,450000,3000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,9,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,10,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,11,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,12,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,13,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,14,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,15,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,16,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,17,500000,500000,4000,,,,
,,,,,,,,,,3000,3000,200,300000,300000,1450,350,22,0,,,,,,,,,,,,,18,500000,500000,4000,,,,
Barbarian3,TID_LEAGUE_TIER_2_RANK_3,TID_LEAGUE_TIER_2_RANK_3_SHORT,TID_LEAGUE_TIER_2,sc/ui.sc,icon_2025_league_barb_rank3,icon_2025_league_barb,icon_2025_league_barb_level,icon_2025_league_small_barb_level,3,,,,,,,,,,15,100,200,10000,10,40,TRUE,TRUE,1,100,300,200,,,,,6,,0,400
,,,,,,,,,,3000,3000,175,275000,275000,1350,0,0,0,,,,,,,,,,,,,7,450000,450000,3500,,,,
,,,,,,,,,,3500,3500,200,300000,300000,1450,375,23,0,,,,,,,,,,,,,8,500000,500000,4000,,,,
,,,,,,,,,,4000,4000,225,325000,325000,1575,375,23,0,,,,,,,,,,,,,9,550000,550000,5000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,10,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,11,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,12,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,13,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,14,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,15,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,16,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,17,600000,600000,6000,,,,
,,,,,,,,,,5000,5000,250,350000,350000,1700,375,23,0,,,,,,,,,,,,,18,600000,600000,6000,,,,
Barbarian2,TID_LEAGUE_TIER_2_RANK_2,TID_LEAGUE_TIER_2_RANK_2_SHORT,TID_LEAGUE_TIER_2,sc/ui.sc,icon_2025_league_barb_rank2,icon_2025_league_barb,icon_2025_league_barb_level,icon_2025_league_small_barb_level,2,,,,,,,,,,15,100,200,10000,10,30,TRUE,TRUE,1,100,300,200,,,,,6,,0,500
,,,,,,,,,,5500,5500,200,300000,300000,1475,0,0,0,,,,,,,,,,,,,7,500000,500000,4000,,,,
,,,,,,,,,,6000,6000,225,325000,325000,1575,400,24,0,,,,,,,,,,,,,8,550000,550000,4500,,,,
,,,,,,,,,,6500,6500,250,350000,350000,1700,400,24,0,,,,,,,,,,,,,9,600000,600000,5500,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,10,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,11,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,12,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,13,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,14,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,15,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,16,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,17,700000,700000,7000,,,,
,,,,,,,,,,10000,10000,300,400000,400000,1950,400,24,0,,,,,,,,,,,,,18,700000,700000,7000,,,,
Barbarian1,TID_LEAGUE_TIER_2_RANK_1,TID_LEAGUE_TIER_2_RANK_1_SHORT,TID_LEAGUE_TIER_2,sc/ui.sc,icon_2025_league_barb_rank1,icon_2025_league_barb,icon_2025_league_barb_level,icon_2025_league_small_barb_level,1,,,,,,,,,,15,100,200,10000,10,30,TRUE,TRUE,1,100,300,200,,,,,6,,0,600
,,,,,,,,,,8000,8000,225,325000,325000,1600,0,0,0,,,,,,,,,,,,,7,550000,550000,4500,,,,
,,,,,,,,,,8500,8500,250,350000,350000,1700,425,25,0,,,,,,,,,,,,,8,600000,600000,5000,,,,
,,,,,,,,,,9000,9000,275,375000,375000,1825,425,25,0,,,,,,,,,,,,,9,650000,650000,6000,,,,
,,,,,,,,,,12500,12500,325,425000,425000,2075,425,25,0,,,,,,,,,,,,,10,750000,750000,7500,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,11,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,12,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,13,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,14,800000,800000,8000,,,,
