Name,TID,InfoTID,OfferInfoTID,AltTID,SWF,ExportName,IconSWF,IconExportName,Enabled,ActivateEffect,MaxItems,DiamondValue,DisplayOrder,Troop,Building,Spell,Hero,Wall,SuperTroop,StartUpgrade,FinishUpgrade,Power Potion,Resource Potion,Training Potion,FillStorageResource,Builder Potion,Clock Tower Potion,BoostLaboratory,BoostPetShop,ChargeBBStarBonus
String,String,String,String,String,String,String,String,String,boolean,String,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,String,boolean,boolean,boolean,boolean,boolean
Book of Fighting,TID_BOOSTER_FINISH_TROOP_UPGRADE,TID_BOOSTER_FINISH_TROOP_UPGRADE_INFO,TID_BOOSTER_FINISH_TROOP_UPGRADE_OFFER_INFO,TID_BOOSTER_FINISH_TROOP_UPGRADE_ALT_2_LINE,,,sc/ui.sc,book_of_troops,TRUE,,1,50,2,TRUE,,,,,,,TRUE,,,,,,,,,
Book of Building,TID_BOOSTER_FINISH_BUILDING_UPGRADE,TID_BOOSTER_FINISH_BUILDING_UPGRADE_INFO,TID_BOOSTER_FINISH_BUILDING_UPGRADE_OFFER_INFO,TID_BOOSTER_FINISH_BUILDING_UPGRADE_ALT_2_LINE,,,sc/ui.sc,book_of_buildings,TRUE,,1,50,2,,TRUE,,,,,,TRUE,,,,,,,,,
Book of Spells,TID_BOOSTER_FINISH_SPELL_UPGRADE,TID_BOOSTER_FINISH_SPELL_UPGRADE_INFO,TID_BOOSTER_FINISH_SPELL_UPGRADE_OFFER_INFO,TID_BOOSTER_FINISH_SPELL_UPGRADE_ALT_2_LINE,,,sc/ui.sc,book_of_spells,TRUE,,1,50,2,,,TRUE,,,,,TRUE,,,,,,,,,
Book of Heroes,TID_BOOSTER_FINISH_HERO_UPGRADE,TID_BOOSTER_FINISH_HERO_UPGRADE_INFO,TID_BOOSTER_FINISH_HERO_UPGRADE_OFFER_INFO,TID_BOOSTER_FINISH_HERO_UPGRADE_ALT_2_LINE,,,sc/ui.sc,book_of_heroes,TRUE,,1,50,2,,,,TRUE,,,,TRUE,,,,,,,,,
Book of Everything,TID_BOOSTER_FINISH_ANY_UPGRADE,TID_BOOSTER_FINISH_ANY_UPGRADE_INFO,TID_BOOSTER_FINISH_ANY_UPGRADE_OFFER_INFO,TID_BOOSTER_FINISH_ANY_UPGRADE_ALT_2_LINE,,,sc/ui.sc,book_of_everything,TRUE,,1,50,2,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,
Power Potion,TID_BOOSTER_MAX_LEVEL_ARMY,TID_BOOSTER_MAX_LEVEL_ARMY_INFO,TID_BOOSTER_MAX_LEVEL_ARMY_OFFER_INFO,TID_BOOSTER_MAX_LEVEL_ARMY_ALT_2_LINE,,,sc/ui.sc,potion_of_strenght,TRUE,,5,10,0,,,,,,,,,TRUE,,,,,,,,
Resource Potion,TID_BOOSTER_BOOST_RESOURCES,TID_BOOSTER_BOOST_RESOURCES_INFO,TID_BOOSTER_BOOST_RESOURCES_OFFER_INFO,TID_BOOSTER_BOOST_RESOURCES_ALT_2_LINE,,,sc/ui.sc,potion_of_resources,TRUE,,5,10,0,,,,,,,,,,TRUE,,,,,,,
Training Potion,TID_BOOSTER_BOOST_PRODUCTION,TID_BOOSTER_BOOST_PRODUCTION_INFO,TID_BOOSTER_BOOST_PRODUCTION_OFFER_INFO,TID_BOOSTER_BOOST_PRODUCTION_ALT_2_LINE,,,sc/ui.sc,potion_of_training,TRUE,,5,10,0,,,,,,,,,,,TRUE,,,,,,
Rune of Gold,TID_BOOSTER_FILL_GOLD_STORAGE,TID_BOOSTER_FILL_GOLD_STORAGE_INFO,TID_BOOSTER_FILL_GOLD_STORAGE_OFFER_INFO,TID_BOOSTER_FILL_GOLD_STORAGE_ALT_2_LINE,,,sc/ui.sc,rune_of_gold,TRUE,,1,50,3,,,,,,,,,,,,Gold,,,,,
Rune of Elixir,TID_BOOSTER_FILL_ELIXIR_STORAGE,TID_BOOSTER_FILL_ELIXIR_STORAGE_INFO,TID_BOOSTER_FILL_ELIXIR_STORAGE_OFFER_INFO,TID_BOOSTER_FILL_ELIXIR_STORAGE_ALT_2_LINE,,,sc/ui.sc,rune_of_elixir,TRUE,,1,50,3,,,,,,,,,,,,Elixir,,,,,
Rune of Dark Elixir,TID_BOOSTER_FILL_DARK_ELIXIR_STORAGE,TID_BOOSTER_FILL_DARK_ELIXIR_STORAGE_INFO,TID_BOOSTER_FILL_DARK_ELIXIR_STORAGE_OFFER_INFO,TID_BOOSTER_FILL_DARK_ELIXIR_STORAGE_ALT_2_LINE,,,sc/ui.sc,rune_of_dark_elixir,TRUE,,1,50,3,,,,,,,,,,,,DarkElixir,,,,,
Rune of Builder Gold,TID_BOOSTER_FILL_GOLD2_STORAGE,TID_BOOSTER_FILL_GOLD2_STORAGE_INFO,TID_BOOSTER_FILL_GOLD2_STORAGE_OFFER_INFO,TID_BOOSTER_FILL_GOLD2_STORAGE_ALT_2_LINE,,,sc/ui.sc,rune_of_builder_gold,TRUE,,1,50,3,,,,,,,,,,,,Gold2,,,,,
Rune of Builder Elixir,TID_BOOSTER_FILL_ELIXIR2_STORAGE,TID_BOOSTER_FILL_ELIXIR2_STORAGE_INFO,TID_BOOSTER_FILL_ELIXIR2_STORAGE_OFFER_INFO,TID_BOOSTER_FILL_ELIXIR2_STORAGE_ALT_2_LINE,,,sc/ui.sc,rune_of_builder_elixir,TRUE,,1,50,3,,,,,,,,,,,,Elixir2,,,,,
Wall Ring,TID_BOOSTER_WALL_UPGRADE,TID_BOOSTER_WALL_UPGRADE_INFO,TID_BOOSTER_WALL_UPGRADE_OFFER_INFO,TID_BOOSTER_WALL_UPGRADE_ALT_2_LINE,,,sc/ui.sc,ring_of_walls,TRUE,,25,5,5,,,,,TRUE,,TRUE,,,,,,,,,,
Builder Potion,TID_BOOSTER_BUILDERS,TID_BOOSTER_BUILDERS_INFO,TID_BOOSTER_BUILDERS_OFFER_INFO,TID_BOOSTER_BUILDERS_ALT_2_LINE,,,sc/ui.sc,potion_of_speed,TRUE,,5,10,0,,,,,,,,,,,,,TRUE,,,,
Hammer of Fighting,TID_BOOSTER_FREE_TROOP_UPGRADE,TID_BOOSTER_FREE_TROOP_UPGRADE_INFO,TID_BOOSTER_FREE_TROOP_UPGRADE_OFFER_INFO,TID_BOOSTER_FREE_TROOP_UPGRADE_ALT_2_LINE,,,sc/ui.sc,hammer_of_troops,TRUE,,1,100,5,TRUE,,,,,,TRUE,TRUE,,,,,,,,,
Hammer of Building,TID_BOOSTER_FREE_BUILDING_UPGRADE,TID_BOOSTER_FREE_BUILDING_UPGRADE_INFO,TID_BOOSTER_FREE_BUILDING_UPGRADE_OFFER_INFO,TID_BOOSTER_FREE_BUILDING_UPGRADE_ALT_2_LINE,,,sc/ui.sc,hammer_of_buildings,TRUE,,1,100,5,,TRUE,,,,,TRUE,TRUE,,,,,,,,,
Hammer of Spells,TID_BOOSTER_FREE_SPELL_UPGRADE,TID_BOOSTER_FREE_SPELL_UPGRADE_INFO,TID_BOOSTER_FREE_SPELL_UPGRADE_OFFER_INFO,TID_BOOSTER_FREE_SPELL_UPGRADE_ALT_2_LINE,,,sc/ui.sc,hammer_of_spells,TRUE,,1,100,5,,,TRUE,,,,TRUE,TRUE,,,,,,,,,
Hammer of Heroes,TID_BOOSTER_FREE_HERO_UPGRADE,TID_BOOSTER_FREE_HERO_UPGRADE_INFO,TID_BOOSTER_FREE_HERO_UPGRADE_OFFER_INFO,TID_BOOSTER_FREE_HERO_UPGRADE_ALT_2_LINE,,,sc/ui.sc,hammer_of_heroes,TRUE,,1,100,5,,,,TRUE,,,TRUE,TRUE,,,,,,,,,
Clock Tower Potion,TID_BOOSTER_CLOCKTOWER,TID_BOOSTER_CLOCKTOWER_INFO,TID_BOOSTER_CLOCKTOWER_OFFER_INFO,TID_BOOSTER_CLOCKTOWER_ALT_2_LINE,,,sc/ui.sc,potion_of_clocktower,TRUE,,5,10,0,,,,,,,,,,,,,,TRUE,,,
Shovel of Obstacles,TID_BOOSTER_MOVE_OBSTACLE,TID_BOOSTER_SHOVEL_OBSTACLE_INFO,TID_BOOSTER_SHOVEL_OBSTACLE_OFFER_INFO,TID_BOOSTER_MOVE_OBSTACLE_ALT_2_LINE,,,sc/ui.sc,shovel_of_obstacles,TRUE,,5,50,1,,,,,,,,,,,,,,,,,
Hero Potion,TID_BOOSTER_HERO_POTION,TID_BOOSTER_HERO_POTION_INFO,TID_BOOSTER_HERO_POTION_OFFER_INFO,TID_BOOSTER_HERO_POTION_ALT_2_LINE,,,sc/ui.sc,potion_of_heroic,TRUE,,5,10,0,,,,TRUE,,,,,,,,,,,,,
Research Potion,TID_BOOSTER_LAB_POTION,TID_BOOSTER_LAB_POTION_INFO,TID_BOOSTER_LAB_OFFER_INFO,TID_BOOSTER_LAB_POTION_ALT_2_LINE,,,sc/ui.sc,potion_of_research,TRUE,,5,10,0,,,,,,,,,,,,,,,TRUE,,
Super Potion,TID_BOOSTER_SUPER_POTION,TID_BOOSTER_SUPER_POTION_INFO,TID_BOOSTER_SUPER_POTION_OFFER_INFO,TID_BOOSTER_SUPER_POTION_ALT_2_LINE,,,sc/ui.sc,potion_of_super_troops,TRUE,,5,10,0,,,,,,TRUE,TRUE,TRUE,,,,,,,,,
Pet Potion,TID_BOOSTER_PET_POTION,TID_BOOSTER_PET_POTION_INFO,TID_BOOSTER_PET_POTION_OFFER_INFO,TID_BOOSTER_PET_POTION_ALT_2_LINE,,,sc/ui.sc,potion_of_pet_boost,TRUE,,5,10,0,,,,,,,,,,,,,,,,TRUE,
Builder Star Jar,TID_BOOSTER_STAR_POTION,TID_BOOSTER_STAR_POTION_INFO,TID_BOOSTER_STAR_POTION_OFFER_INFO,TID_BOOSTER_STAR_POTION_ALT_2_LINE,,,sc/ui.sc,jar_of_bb_star_bonus,TRUE,Activate BB Star Bonus,5,10,0,,,,,,,,,,,,,,,,,TRUE
