Name,TriggerInstanceName,SpawnInstanceName,ClickableName
String,String,String,String
LNY_Scroll_Location_A,clickable_a,clickable_spawn_a,LNY25_Scroll_A
LNY_Scroll_Location_B,clickable_b,clickable_spawn_b,LNY25_Scroll_B
LNY_Scroll_Location_C,clickable_c,clickable_spawn_c,LNY25_Scroll_C
LNY_Scroll_Location_D,clickable_d,clickable_spawn_d,LNY25_Scroll_D
LNY_Scroll_Location_E,clickable_e,clickable_spawn_e,LNY25_Scroll_E
TTRPG_Cine_Location_ArcherQueen,clickable_a,clickable_spawn_a,TTRPG_Cine_ArcherQueen
TTRPG_Cine_Location_BarbKing,clickable_b,clickable_spawn_b,TTRPG_Cine_BarbKing
TTRPG_Cine_Location_RoyalChamp,clickable_c,clickable_spawn_c,TTRPG_Cine_RoyalChamp
TTRPG_Cine_Location_GrandWarden,clickable_d,clickable_spawn_d,TTRPG_Cine_GrandWarden
Frostage_Clickable_Location_B,clickable_b,clickable_spawn_b,FrostageClickableB
