Name,EnabledByCalendar,Swf,ExportName,Sfx,SfxVolume,TapAnimSequenceType,IdleAnimStart,IdleAnimEnd,TapAnimStart,TapAnimEnd
String,boolean,String,String,String,int,String,String,String,String,String
TTRPG_Cine_ArcherQueen,,sc/scenery_clickable_ttrpg_dl_opt.sc,ttrpg_clickable_a,sfx/Cine_TTRPG_ArcherQueen_dl_opt.ogg,100,,,,,
TTRPG_Cine_BarbKing,,sc/scenery_clickable_ttrpg_dl_opt.sc,ttrpg_clickable_b,sfx/Cine_TTRPG_BarbKing_dl_opt.ogg,100,,,,,
TTRPG_Cine_RoyalChamp,,sc/scenery_clickable_ttrpg_dl_opt.sc,ttrpg_clickable_c,sfx/Cine_TTRPG_RoyalChamp_dl_opt.ogg,100,,,,,
TTRPG_Cine_GrandWarden,,sc/scenery_clickable_ttrpg_dl_opt.sc,ttrpg_clickable_d,sfx/Cine_TTRPG_GrandWarden_dl_opt.ogg,100,,,,,
LNY25_Scroll_A,,sc/scenery_clickable_lny2025_dl_opt.sc,lny2025_clickable_a,sfx/Cine_LNY25_ScrollOpen.ogg,50,,,,,
LNY25_Scroll_B,,sc/scenery_clickable_lny2025_dl_opt.sc,lny2025_clickable_b,sfx/Cine_LNY25_ScrollOpen.ogg,50,,,,,
LNY25_Scroll_C,,sc/scenery_clickable_lny2025_dl_opt.sc,lny2025_clickable_c,sfx/Cine_LNY25_ScrollOpen.ogg,50,,,,,
LNY25_Scroll_D,,sc/scenery_clickable_lny2025_dl_opt.sc,lny2025_clickable_d,sfx/Cine_LNY25_ScrollOpen.ogg,50,,,,,
LNY25_Scroll_E,,sc/scenery_clickable_lny2025_dl_opt.sc,lny2025_clickable_e,sfx/Cine_LNY25_ScrollOpen.ogg,50,,,,,
FrostageClickableB,,sc/scenery_frostage_dl_opt.sc,frostage_clickable_b,,,,,,,
SceneryClickable01,TRUE,,,,,,,,,
SceneryClickable02,TRUE,,,,,,,,,
SceneryClickable03,TRUE,,,,,,,,,
SceneryClickable04,TRUE,,,,,,,,,
SceneryClickable05,TRUE,,,,,,,,,
SceneryClickable06,TRUE,,,,,,,,,
SceneryClickable07,TRUE,,,,,,,,,
SceneryClickable08,TRUE,,,,,,,,,
SceneryClickable09,TRUE,,,,,,,,,
SceneryClickable10,TRUE,,,,,,,,,
SceneryClickable11,TRUE,,,,,,,,,
SceneryClickable12,TRUE,,,,,,,,,
SceneryClickable13,TRUE,,,,,,,,,
SceneryClickable14,TRUE,,,,,,,,,
SceneryClickable15,TRUE,,,,,,,,,
SceneryClickable16,TRUE,,,,,,,,,
