Name,SpecialAbility,Modules,TotalModuleLevelThresholds
String,String,String,String
HookTower,SeasonalDefenseHookTower,HookTowerHPModule;HookTowerAttackModule;HookTowerEffectModule,9;18;27
SunBeam,SeasonalDefenseSunBeam,SunBeamHPModule;SunBeamAttackModule;SunBeamEffectModule,9;18;27
LogLobber,SeasonalDefenseLogLobber,LogLobberHPModule;LogLobberAttackModule;LogLobberEffectModule,9;18;27
FlameSpinner,SeasonalDefenseFlameSpinner,FlameSpinnerHPModule;FlameSpinnerAttackModule;FlameSpinnerEffectModule,9;18;27
CrusherMortar,SeasonalDefenseCrusherMortar,CrusherMortarHPModule;CrusherMortarAttackModule;CrusherMortarEffectModule,9;18;27
LazyLaser,SeasonalDefenseLazyLaser,LazyLaserHPModule;LazyLaserAttackModule;LazyLaserEffectModule,9;18;27
SlowdownTower,SeasonalDefenseSlowdownTower,SlowdownTowerHPModule;SlowdownTowerAttackModule;SlowdownTowerEffectModule,9;18;27
HeroBooster,SeasonalDefenseHeroBooster,HeroBoosterHPModule;HeroBoosterAttackModule;HeroBoosterEffectModule,9;18;27
SDRoaster,SeasonalDefenseRoaster,RoasterHPModule;RoasterAttackModule;RoasterEffectModule,3;6;9;12;15;18;21;24;27
SDAirBombs,SeasonalDefenseAirBombs,AirBombsHPModule;AirBombsAttackModule;AirBombsEffectModule,3;6;9;12;15;18;21;24;27
SDLavaLauncher,SeasonalDefenseLavaLauncher,LavaLauncherHPModule;LavaLauncherAttackModule;LavaLauncherEffectModule,3;6;9;12;15;18;21;24;27
