Name,Original,MinOriginalLevel,Replacement,DurationH,CooldownH,Resource,ResourceCost,TrialNPC,EnabledByCalendar
String,String,int,String,int,int,String,int,String,boolean
SuperBarbarian,Barbarian,7,Super Barbarian,72,72,DarkElixir,25000,SUPER_BARB_INTRO_TH13,
SuperGoblin,Goblin,6,Sneaky Goblin,72,72,DarkElixir,25000,SUPER_GOBLIN_INTRO_TH13,
SuperGiant,Giant,8,Super Giant,72,72,DarkElixir,25000,SUPER_GIANT_INTRO_TH13,
SuperWallbreaker,Wall Breaker,6,Super Wall Breaker,72,72,DarkElixir,25000,SUPER_WALLBREAKER_INTRO_TH13,
SuperArcher,Archer,7,Super Archer,72,72,DarkElixir,25000,SUPER_ARCHER_INTRO_TH13,
SuperWitch,Witch,4,Super Witch,72,72,DarkElixir,25000,SUPER_WITCH_INTRO_TH13,
Inferno Dragon,Baby Dragon,5,Inferno Dragon,72,72,DarkElixir,25000,INFERNO_DRAGON_INTRO_TH13,
SuperValkyrie,Valkyrie,6,Super Valkyrie,72,72,DarkElixir,25000,SUPER_VALKYRIE_INTRO_TH13,
SuperMinion,Minion,7,Super Minion,72,72,DarkElixir,25000,SUPER_MINION_INTRO_TH13,
SuperWizard,Wizard,8,Super Wizard,72,72,DarkElixir,25000,SUPER_WIZARD_INTRO_TH13,
IceHound,Lava Hound,4,Ice Hound,72,72,DarkElixir,25000,SUPER_LAVAHOUND_INTRO_TH13,
SuperBalloon,Balloon,7,Rocket Balloon,72,72,DarkElixir,25000,SUPER_BALLOON_INTRO_TH13,
SuperBowler,Bowler,3,Super Bowler,72,72,DarkElixir,25000,SUPER_BOWLER_INTRO_TH13,
SuperDragon,Dragon,6,Super Dragon,72,72,DarkElixir,25000,SUPER_DRAGON_INTRO_TH13,
SuperMiner,Miner,6,Super Miner,72,72,DarkElixir,25000,SUPER_MINER_INTRO,
SuperHogRider,Hog Rider,9,Super Hog Rider,72,72,DarkElixir,25000,SUPER_HOG_INTRO,
Super Yeti,Yeti,2,Super Yeti,72,72,DarkElixir,25000,SUPER_YETI_INTRO,
