TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
String,String,String,String,String,String,String,String,String,String
TID_ABOUT,Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. All Rights Reserved.\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.feedback@supercell.net.,Crédits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tous droits réservés.\nToute utilisation de ce logiciel est sujette aux Conditions d´utilisation et à la Charte de confidentialité disponibles sur www.supercell.net.\nVous pouvez contacter l´assistance à l´adresse clashofclans.feedback@supercell.net.,Mitwirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Alle Rechte vorbehalten.\nJegliche Nutzung dieser Software unterliegt den Geschäftsbedingungen und der Datenschutzerklärung auf www.supercell.net.\nKontakt: clashofclans.feedback@supercell.net.,Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Todos los derechos reservados.\nTodo uso de este software está sujeto a Términos y Condiciones y a la Política Privada en www.supercell.net.\nSi necesitas ayuda contáctanos en clashofclans.feedback@supercell.net.,Riconoscimenti\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tutti i diritti riservati.\nL'uso di questo software è soggetto a termini e condizioni d'uso e alla privacy policy disponibili su www.supercell.net.\nPer il supporto invia una mail a clashofclans.feedback@supercell.net.,Credits\n\n<names>\n\nClash of Clans (tm) m) <version>\nCopyright 2012 Supercell Ltd. Alle rechten voorbehouden.\nHet gebruik van deze software is onderhevig aan de algemene voorwaarden en het privacybeleid op www.supercell.net.\nNeem voor ondersteuning contact op met clashofclans.feedback@supercell.net.,"Takkeliste\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Med enerett.\nAll bruk av denne programvaren er gjenstand for regler og vilkår og personvernpolicy på www.supercell.net.\nFor kundestøtte, kontakt clashofclans.feedback@supercell.net.",Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Todos os direitos reservados.\nQualquer uso deste software está sujeito aos Termos e Condições e Política de Privacidade em www.supercell.net.\nPara obter suporte contate clashofclans.feedback@supercell.net.,"Yapımcılar\n\n<names>\n\nClash of Clans ™ <version>\nTelif Hakkı 2012 Supercell Ltd. Tüm Hakları Saklıdır.\nBu yazılımın tüm kullanımı, www.supercell.net adresindeki Hüküm ve Koşullar ile Gizlilik Politikası'na tabidir.\nDestek için lütfen şu adresle iletişime geçiniz: clashofclans.feedback@supercell.net."
TID_ABOUT_BUTTON,About,À propos,Über,Acerca de...,Informazioni,Over,Om,Sobre,Hakkında
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,Accept join request?,Accepter la demande ?,Beitrittsanfrage annehmen?,¿Aceptar petición?,Accettare la richiesta?,Verzoek accepteren?,Godta forespørsel om å delta?,Aceitarpedido?,Katılma isteği kabul edinsin mi?
TID_ACHIEVEMENTS_COMPLETED,Completed:,Terminé :,Abgeschlossen:,Completado:,Completato:,Voltooid:,Fullført:,Concluído:,Tamamlanan:
TID_ACHIEVEMENTS_INFO,Achievements also in Game Center,Succès également dans le Game Center,Errungenschaften auch bei Game Center,Logros en Game Center también,Obiettivi anche in Game Center,Prestaties tevens in Game Center,Prestasjoner også i Game Center,Conquistas também no Game Center,Başarılar ayrıca Oyun Merkezi'nde
TID_ACHIEVEMENTS_REWARD,Rewards:,Récompenses :,Belohnungen:,Premios:,Premi:,Beloningen:,Belønninger:,Recompensas:,Ödüller:
TID_ACHIEVEMENT_CASTLE_REPAIR,Rebuild the Clan Castle,Reconstruire le Château de clan,Die Clanburg wieder aufbauen,Reconstruir el castillo del clán,Ricostruisci il castello del clan,Het clankasteel herbouwen,Bygg klanslottet på nytt!,Reconstruir o Castelo do Clã,Klan Kalesini Tekrar Kur
TID_ACHIEVEMENT_CASTLE_TITLE,Empire Builder,Bâtisseur d´empire,Imperiumsmeister,Constructor de Imperios,Costruttore di imperi,Rijkbouwer,Fyrstedømmebygger,Construtor de império,İmparator İnşaatçı
TID_ACHIEVEMENT_CASTLE_UPGRADE,Upgrade Clan Castle to level <number>,Améliorer le Château de clan au niveau <number>,Verbessere die Clanburg auf Level <number>,Mejorar el castillo del clán al nivel <number>,Migliora il castello del clan fino al livello <number>,Upgrade het clankasteel naar <number>,Oppgrader klanslottet til nivå <number>,Atualize o Castelo do Clã para o nível <number>,Klan Kalesini <number>. seviyeye yükselt
TID_ACHIEVEMENT_CHALLENGE_BUTTON,Challenge friends,Défiez vos amis,Freunde herausfordern,Desafiar a amigos,Sfida gli amici,Vrienden uitdagen,Utfordre venner,Desafie seus amigos,Arkadaşlarınla kapış
TID_ACHIEVEMENT_CLAIM_BUTTON,Claim Reward,Récupérer récompense,Belohnung einfordern,Reclamar el premio,Richiedi premio,Beloning opeisen,Krev belønning,Resgate a recompensa,Ödülünü İste
TID_ACHIEVEMENT_CLEAR_OBSTACLES,"Remove <number> obstacles (trees, rocks, bushes)","Supprimer <number> obstacles (arbres, rochers, buissons)","Entferne <number> Hindernisse (Bäume, Steine, Büsche)","Quita <number> obstáculos (árboles, rocas, arbustos)","Rimuovi <number> ostacoli (alberi, rocce, cespugli)","Verwijder <number> obstakels (bomen, rotsen, struiken)","Fjern <number> hindringer (trær, steiner, busker)","Remova <number> obstáculos (árvores, pedras, arbustos)","<number> engel kaldır (ağaçlar, kayalar, çalılıklar)"
TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE,Nice and Tidy,Un peu de rangement,Hübsch und ordentlich,Bonito y ordenado,Un lavoro pulito,Opgeruimd staat netjes,Rent og pent,Limpo e arrumado,Harika ve Düzenli
TID_ACHIEVEMENT_COMPLETED,Achievement Completed!,Succès terminé !,Errungenschaft erzielt!,¡Logro completado!,Obiettivo completato!,Prestatie voltooid!,Prestasjon fullført!,Conquista completa!,Başarı Tamamlandı!
TID_ACHIEVEMENT_DESTROY_BUILDER,Destroy <number> Builder's Huts in Multiplayer battles,Détruisez <number> cabanes d´ouvrier lors de batailles Multijoueur,Zerstöre <number> Bauhütten bei Mehrspieler-Kämpfen,Destruye <number> cabañas de constructores en batallas multijugador,Distruggi <number> Capanne del muratore in battaglie multigiocatore,Vernietig <number> bouwhutten in multiplayergevechten,Ødelegg <number> byggerhytter i slag med flere spillere,Destrua <number> Cabanas do Construtor em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> İnşaatçı Kulübesi yok et
TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE,Union Buster,Démolisseur de syndicats,Gewerkschaftssprenger,Anti-gremios,Vietate le unioni,Eenheidknaller,Unionsbryter,Detonador de uniões,Birlik İmhacısı
TID_ACHIEVEMENT_DESTROY_TOWNHALL,Destroy <number> Town Halls in Multiplayer battles,Détruisez <number> Hôtels de ville lors de batailles Multijoueur,Zerstöre <number> Rathäuser bei Mehrspieler-Kämpfen,Destruye <number> ayuntamientos en batallas multijugador,Distruggi <number> Municipi in battaglie multigiocatore,Vernietig <number> stadhuizen in multiplayergevechten,Ødelegg <number> rådhus i slag med flere spillere,Destrua <number> Centro(s) de Cidade em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Belediye Binası yok et
TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE,Humiliator,Destruction,Erniedriger,Humillador,Umiliazione,Vernederaar,Fornedrer,Humilhador,Aşağılayıcı
TID_ACHIEVEMENT_DESTROY_WALLS,Destroy <number> Walls in Multiplayer battles,Détruisez <number> murs lors de batailles Multijoueur,Zerstöre <number> Mauern bei Mehrspieler-Kämpfen,Destruye <number> muros en batallas multijugador,Distruggi <number> Mura in battaglie multigiocatore,Vernietig <number> muren in multiplayergevechten,Ødelegg <number> vegger i slag med flere spillere,Destrua <number> muros em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Duvar yok et
TID_ACHIEVEMENT_DESTROY_WALLS_TITLE,Wall Buster,Destructeur de murs,Mauermeister,Revienta muros,Spacca pareti,Muurknaller,Murbrekker,Detonador de muros,Duvar İmhacısı
TID_ACHIEVEMENT_DONATE_UNITS,Donate <number> troops to your clanmates,Donner <number> troupes aux membres de votre clan.,Überlasse deinen Clankameraden <number> Truppen,Dar <number> tropas a tus clanes aliados,Dona <number> truppe ai tuoi amici di clan,Schenk <number> troepen aan de leden van je clan,Doner <number> soldater til klansvennene dine,Doe <number> tropas aos seus colegas de clã,Klan arkadaşlarına <number> asker bağışla
TID_ACHIEVEMENT_DONATE_UNITS_TITLE,Friend in Need,Ami dans le besoin,Freund in Not,Amigo en apuros,Un amico in difficoltà,Behoeftige vrienden,Venner i nød,Amigo em apuros,Muhtaç Arkadaş
TID_ACHIEVEMENT_GOLDSTORAGE_TITLE,Bigger Coffers,Réserves infinies,Mehr Volumen,Cofres más grandes,Casse più grandi,Grotere schatkisten,Større beholdere,Cofres maiores,Daha Büyük Kasalar
TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE,Upgrade a Gold Storage to level <number>,Améliorez une Réserve d´or au niveau <number>,Verbessere ein Goldlager auf Level <number>,Mejora un almacén de oro al nivel <number>,Migliora un Deposito d'oro fino al livello <number>,Upgrade een gouddepot naar level <number>,Oppgrader et gullager til nivå <number>,Atualize uma Armazenagem de Ouro para o nível <number>,Bir Altın Deposunu <number>. seviyesine yükselt
TID_ACHIEVEMENT_LOOT_ELIXIR,Steal <number> elixir,Volez <number> élixirs,Stehle <number> Elixier,Roba <number> elixires,Ruba <number> elisir,Steel <number> elixir,Stjel <number> eliksir,Roubar <number> elixir,<number> iksir çal
TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE,Elixir Escapade,Voleur d´élixir,Elixier-Streich,Ladrón de elixir,Fuga con elisir,Elixirescapade,Eliksireskapade,Fuga do Elixir,İksir Macerası
TID_ACHIEVEMENT_LOOT_GOLD,Steal <number> gold,Volez <number> d´or,Stehle <number> Gold,Roba <number> oros,Ruba <number> oro,Steel <number> goud,Stjel <number> gull,Roubar <number> ouro,<number> altın çal
TID_ACHIEVEMENT_LOOT_GOLD_TITLE,Gold Grab,Ruée vers l´or,Goldjagd,Ladrón de oro,Cercatore d'oro,Goudgraai,Gullfangst,Captura do Ouro,Altın Kapmaca
TID_ACHIEVEMENT_NPC_STARS,Win <number> stars on the Campaign Map,Gagnez <number> étoiles sur la Carte de la campagne,Gewinne <number> Sterne auf der Kampagnenkarte,Gana <number> estrellas en el mapa de la campaña.,Vinci <number> stelle sulla Mappa campagna,Win <number> sterren op de Campagnekaart,Vinn <number> stjerner på kampanjekartet,Ganhe <number> estrelas no mapa de campanha,Senaryo Haritası üzerinde <number> yıldız kazan
TID_ACHIEVEMENT_NPC_STARS_TITLE,Get those Goblins!,Attrapez ces Gobelins !,Schnapp dir diese Kobolde!,¡Alcanza a esos duendes!,Prendi quei goblin!,Pak die gobelins!,Ta disse nissene!,Pegue aqueles Goblins!,Şu Goblinleri yakala!
TID_ACHIEVEMENT_PVP_ATTACKS,Win <number> Multiplayer battles,Gagnez <number> batailles Multijoueur,Gewinne <number> Mehrspieler-Kämpfe,Gana <number> batallas multijugador,Vinci <number> battaglie multigiocatore,Win <number> multiplayergevechten,Vinn <number> slag med flere spillere,Vença <number> batalhas multiplayer,<number> çoklu oyuncu savaşı kazan
TID_ACHIEVEMENT_PVP_ATTACKS_TITLE,Conqueror,Conquérant,Eroberer,Conquistador,Conquistatore,Veroveraar,Erobrer,Conquistador,Fatih
TID_ACHIEVEMENT_PVP_DEFENSES,Successfully defend against <number> attacks,Défendez contre <number> attaques,Verteidige dich erfolgreich gegen <number> Angriffe,Has defendido con éxito <number> ataques,Difenditi con successo da <number> attacchi,<number> aanvallen succesvol afgewend,Vellykket forsvar mot <number> angrep,Defenda-se com sucesso contra <number> ataques,<number> saldırıya karşı başarıyla savun
TID_ACHIEVEMENT_PVP_DEFENSES_TITLE,Unbreakable,Incassable,Unzerstörbar,Irrompible,Indistruttibile,Onbreekbaar,Uknuselig,Indestrutível,Kırılamaz
TID_ACHIEVEMENT_REWARD_CLAIMED,Achievement completed! You received <number> gems.,Succès terminé ! Vous avez reçu <number> gemmes.,Errungenschaft erzielt! Du hast <number> Juwelen erhalten.,¡Logro completado! Has recibido <number> gemas,Obiettivo completato! Hai ricevuto <number> gemme.,Prestatie voltooid! Je hebt <number> edelstenen ontvangen.,Prestasjon fullført! Du mottok <number> smykker.,Conquista completa! Você recebeu <number> pedras.,Başarı tamamlandı! <number> taş kazandın.
TID_ACHIEVEMENT_TOWN_HALL,Upgrade Town Hall to level <number>,Améliorer l´Hôtel de ville au niveau <number>,Verbessere das Rathaus auf Level <number>,Mejora el ayuntamiento al nivel <number>,Migliora il Municipio fino al livello <number>,Upgrade het stadhuis naar level <number>,Oppgrader rådhuset til nivå <number>,Atualize o Centro da Cidade para o nível <number>,Belediye Binasını <number>. Seviyeye yükselt
TID_ACHIEVEMENT_TOWN_HALL_TITLE,Bigger & Better,Toujours plus grand,Größer & besser,Más grande y mejor,"Più grande è, meglio è",Groter en beter,Større og bedre,Maior e melhor,Daha Büyük ve Daha İyi
