Name,TID
String,String
Cosmin Baltaretu,Cosmin Baltaretu
Niko Derome,Niko Derome
Rene Kivioja,Rene Kivioja
Lassi Leppinen,Lassi Leppinen
Jani Lintunen,Jani Lintunen
Lasse Louhento,Lasse Louhento
Taneli Oksama,Taneli Oksama
Riku Rikala,Riku Rikala
Martin Schjøler,Martin Schjøler
_,_
Marika Appel,Marika Appel
Jonatas Chagas,Jonatas Chagas
Erlend Christoffersen,Erlend Christoffersen
Visa Forsten,Visa Forsten
Jon Franzas,Jon Franzas
Greg Harper,Greg Harper
Jari Hokkanen,Jari Hokkanen
Mikko Kodisoja,Mikko Kodisoja
Miki Kuusi,Miki Kuusi
Mikko Lehtonen,Mikko Lehtonen
Ilkka Paananen,Ilkka Paananen
Antti Summala,Antti Summala
Veli Vainio,Veli Vainio
Sami Yliharju,Sami Yliharju
