Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,ResourceIconLimit,UnitProduction,Hero,UpgradesUnits,BoostCost,Hitpoints,RegenTime,AttackRange,AltAttackMode,AltAttackRange,AttackSpeed,Damage,PreferredTarget,PreferredTargetDamageMod,RandomHitPosition,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,AltAirTargets,AltGroundTargets,AmmoCount,AmmoResource,AmmoCost,MinAttackRange,DamageRadius,PushBack,WallCornerPieces,LoadAmmoEffect,NoAmmoEffect,ToggleAttackModeEffect,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked,Hidden,TriggerRadius,ExportNameTriggered,AppearEffect,ForgesSpells,IsHeroBarrack,HeroType
String,String,String,String,String,String,String,String,int,int,int,String,int,int,int,int,String,String,int,int,int,boolean,int,String,int,int,int,int,boolean,boolean,int,int,int,int,boolean,int,int,int,String,int,boolean,String,String,String,String,String,int,int,String,String,boolean,boolean,boolean,boolean,int,String,int,int,int,boolean,boolean,String,String,String,String,String,boolean,String,int,int,int,boolean,boolean,int,String,String,boolean,boolean,String
Troop Housing,TID_BUILDING_HOUSING,TID_HOUSING_INFO,Army,sc/buildings.sc,fireplace_lvl1,,fireplace_const,,,5,Elixir,250,1,5,5,,fireplace_upg,,,,,20,,,,,,,,,400,30,,,,,,,,,Building Destroyed,,,,gen_destructed_state5,2,2,fireplace_lvl1_base,,,,,,,,,,,,,,,,Troop Housing Pickup,Troop Housing Placing,TRUE,,,,,,,,,,,,
,,,,,fireplace_lvl2,,,,1,0,,2500,2,,,,,,,,,30,,,,,,,,,500,31,,,,,,,,,,,,,,,,fireplace_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl3,,,,3,0,,10000,3,,,,,,,,,35,,,,,,,,,600,32,,,,,,,,,,,,,,,,fireplace_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl4,,,,8,0,,100000,4,,,,,,,,,40,,,,,,,,,700,33,,,,,,,,,,,,,,,,fireplace_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl5,,,1,0,0,,250000,5,,,,,,,,,45,,,,,,,,,800,34,,,,,,,,,,,,,,,,fireplace_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl6,,,3,0,0,,750000,6,,,,,,,,,50,,,,,,,,,1000,35,,,,,,,,,,,,,,,,fireplace_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireplace_lvl7,,,5,0,0,,2250000,9,,,,,,,,,55,,,,,,,,,1200,35,,,,,,,,,,,,,,,,fireplace_lvl7_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town Hall,TID_BUILDING_TOWN_HALL,TID_TOWN_HALL_INFO,Town Hall,sc/buildings.sc,town_hall_lvl1,goblin_townhall_lvl1,town_hall_const,,,1,Gold,0,,4,4,,town_hall_upg,1000,1000,,,,,,,,,,,,1500,30,,,,,,,,,Building Destroyed,,,,town_hall_broken,3,3,townhall_base,goblin_townhall_base,,,,,,,,,,,,,,,Town Hall Pickup,Town Hall Placing,TRUE,,,,1,,,,,,,,
,,,,,town_hall_lvl2,,,,,5,,1000,,,,,,1000,1000,,,,,,,,,,,,1600,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
