TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
String,String,String,String,String,String,String,String,String,String,String
TID_ABOUT,Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.feedback@supercell.net.,Crédits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tous droits réservés.\nBrevet aux États-Unis en instance\nToute utilisation de ce logiciel est soumise aux Conditions d'utilisation et à la Politique de confidentialité sur www.supercell.net.\nPour contacter l'assistance : clashofclans.feedback@supercell.net.,"Mitwirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Alle Rechte vorbehalten.\nUS Patent Pending\nJegliche Nutzung der Software unterliegt den Geschäftsbedingungen und Datenschutzrichtlinien, die unter www.supercell.net einsehbar sind.\nFür Unterstützung kontaktieren Sie clashofclans.feedback@supercell.net.",Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Todos los derechos reservados.\nPatente pendiente EE.UU.\nCualquier uso de este software está sujeto a términos y condiciones y a la política de privacidad en www.supercell.net.\nPara más información contáctanos a clashofclans.feedback@supercell.net.,"Riconoscimenti\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tutti i diritti riservati.\nBrevetto in corso di registrazione (Stati Uniti d'America)\nL'uso di questo software è soggetto ai termini di utilizzo e alla politica sulla privacy disponibili su www.supercell.net.\nPer assistenza, contattare clashofclans.feedback@supercell.net.",Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Alle rechten voorbebouden.\nIn afwachting van Amerikaans octrooi\nAlle gebruik van deze software is onderhevig aan de Algemene Voorwaarden en het Privacybeleid te vinden op www.supercell.net.\nNeem voor ondersteuning contact op met clashofclans.feedback@supercell.net.,Takkeliste\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Med enerett.\nUS Patent Pending\nAll bruk av denne programvaren er underlagt vilkårene og personvernpolicyen på www.supercell.net.\nFor brukerstøtte kontakt clashofclans.feedback@supercell.net.,Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd,"Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. Tüm Hakları Saklıdır.\nUS Patent Bekleniyor\nBu yazılımın kullanımı, www.supercell.net adresindeki Şartlar ve Koşullar ile Gizlilik Politikası'na tabidir.\nDestek için clashofclans.feedback@supercell.net adresinden iletişime geçin.",Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012 Supercell Ltd. 無断複写・複製・転載を禁ず\n米国特許出願中\n本ソフトウェアの使用は、www.supercell.netの規約およびプライバシーポリシーに準拠します。\nサポートにつきましてはclashofclans.feedback@supercell.net.にご連絡ください。
TID_ABOUT_BUTTON,About,À propos,Über,Acerca de...,Informazioni,Over,Om,Sobre,Hakkında,バージョン情報
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,Accept join request?,Accepter la demande ?,Beitrittsanfrage annehmen?,¿Aceptar petición?,Accettare la richiesta?,Verzoek accepteren?,Godta forespørsel om å delta?,Aceitar pedido?,Katılma isteği kabul edinsin mi?,加入リクエストを承認しますか？
TID_ACHIEVEMENTS_COMPLETED,Completed:,Terminé :,Abgeschlossen:,Completado:,Completato:,Voltooid:,Fullført:,Concluído:,Tamamlanan:,コンプリート：
TID_ACHIEVEMENTS_INFO,Achievements also in Game Center,Succès également dans le Game Center,Errungenschaften auch bei Game Center,Logros en Game Center también,Obiettivi anche in Game Center,Prestaties tevens in Game Center,Prestasjoner også i Game Center,Conquistas também no Game Center,Başarılar ayrıca Oyun Merkezi'nde,Game Centerでも成績が見られます
TID_ACHIEVEMENTS_REWARD,Rewards:,Récompenses :,Belohnungen:,Premios:,Premi:,Beloningen:,Belønninger:,Recompensas:,Ödüller:,報酬：
TID_ACHIEVEMENT_CASTLE_REPAIR,Rebuild the Clan Castle,Reconstruire le Château de clan,Die Clanburg wieder aufbauen,Reconstruir el castillo del clan,Ricostruisci il castello del clan,Het clankasteel herbouwen,Bygg klanslottet på nytt!,Reconstruir o Castelo do Clã,Klan Kalesini Tekrar Kur,クラン砦をもう一度建てる
TID_ACHIEVEMENT_CASTLE_TITLE,Empire Builder,Bâtisseur d´empire,Imperiumsmeister,Constructor de Imperios,Costruttore di imperi,Rijkbouwer,Fyrstedømmebygger,Construtor de império,İmparator İnşaatçı,帝国のビルダー
TID_ACHIEVEMENT_CASTLE_UPGRADE,Upgrade Clan Castle to level <number>,Améliorer le Château de clan au niveau <number>,Verbessere die Clanburg auf Level <number>,Mejorar el castillo del clan al nivel <number>,Migliora il castello del clan fino al livello <number>,Upgrade het clankasteel naar <number>,Oppgrader klanslottet til nivå <number>,Atualize o Castelo do Clã para o nível <number>,Klan Kalesini <number>. seviyeye yükselt,クラン砦をレベル<number>にアップグレードする
TID_ACHIEVEMENT_CHALLENGE_BUTTON,Challenge friends,Défiez vos amis,Freunde herausfordern,Desafiar a amigos,Sfida gli amici,Vrienden uitdagen,Utfordre venner,Desafie seus amigos,Arkadaşlarınla kapış,友達に戦いを挑む
TID_ACHIEVEMENT_CLAIM_BUTTON,Claim Reward,Récupérer récompense,Belohnung einfordern,Reclamar el premio,Richiedi premio,Beloning opeisen,Krev belønning,Resgate a recompensa,Ödülünü İste,クレーム報酬
TID_ACHIEVEMENT_CLEAR_OBSTACLES,"Remove <number> obstacles (trees, rocks, bushes)","Supprimer <number> obstacles (arbres, rochers, buissons)","Entferne <number> Hindernisse (Bäume, Steine, Büsche)","Quita <number> obstáculos (árboles, rocas, arbustos)","Rimuovi <number> ostacoli (alberi, rocce, cespugli)","Verwijder <number> obstakels (bomen, rotsen, struiken)","Fjern <number> hindringer (trær, steiner, busker)","Remova <number> obstáculos (árvores, pedras, arbustos)","<number> engel kaldır (ağaçlar, kayalar, çalılıklar)",<number>の障害物（木、岩、茂み）を取り除きましょう
TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE,Nice and Tidy,Un peu de rangement,Hübsch und ordentlich,Bonito y ordenado,Un lavoro pulito,Opgeruimd staat netjes,Rent og pent,Limpo e arrumado,Harika ve Düzenli,いい感じです
TID_ACHIEVEMENT_COMPLETED,Achievement Completed!,Succès terminé !,Errungenschaft erzielt!,¡Logro completado!,Obiettivo completato!,Prestatie voltooid!,Prestasjon fullført!,Conquista completa!,Başarı Tamamlandı!,成績をコンプリートしました！
