Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpawnTroopType,SpawnTroopUpgradeLevel,SpawnTroopCount,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY
String,String,String,String,int,int,int,String,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String,String,int,int,String,int,int,String,int,int,String,int,String,int,int
Barbarian King,TID_BARBARIAN_KING,TID_HERO_INSTRUCTIONS,sc/characters.cs,200,1500,12,DarkElixir,5000,7,100,1200,150,1,,sc/ui.sc,icon_hero_barbarianKing,unit_barbarianKing_big,,,Barbarian King Deploy,Barbarian King Attack,Barbarian King Hit,FALSE,FALSE,TRUE,,Barbarian King Die,BarbarianKing_lvl1,1300,25,Barbarian,0,1,Building Ready,240,,Elixir,,Barbarian King Scream,70,-40
,,,,,1560,24,,7500,7,,,156,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,1,,254,,,,,,
,,,,,1622,36,,10000,7,,,162,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,2,,270,,,,,,
,,,,,1687,48,,15000,7,,,169,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,2,,286,,,,,,
,,,,,1755,60,,20000,7,,,175,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,3,,303,,,,,,
,,,,,1825,72,,25000,7,,,182,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,3,,321,,,,,,
,,,,,1898,84,,30000,7,,,190,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,4,,340,,,,,,
,,,,,1974,96,,35000,7,,,197,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,4,,361,,,,,,
,,,,,2053,108,,40000,7,,,205,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,0,5,,383,,,,,,
,,,,,2135,120,,45000,7,,,213,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,0,5,,405,,,,,,
,,,,,2220,132,,50000,8,,,222,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,430,,,,,,
,,,,,2309,144,,55000,8,,,231,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,456,,,,,,
,,,,,2402,156,,60000,8,,,240,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,483,,,,,,
,,,,,2498,168,,65000,8,,,250,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,512,,,,,,
,,,,,2598,180,,70000,8,,,260,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,543,,,,,,
,,,,,2701,192,,75000,8,,,270,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,575,,,,,,
,,,,,2809,204,,80000,8,,,281,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,610,,,,,,
,,,,,2922,216,,85000,8,,,292,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,646,,,,,,
,,,,,3039,228,,90000,8,,,304,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,685,,,,,,
,,,,,3160,240,,100000,8,,,316,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,2,5,,726,,,,,,
,,,,,3287,252,,110000,9,,,329,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,770,,,,,,
,,,,,3418,264,,120000,9,,,342,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,816,,,,,,
,,,,,3555,276,,130000,9,,,355,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,865,,,,,,
,,,,,3697,288,,140000,9,,,370,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,917,,,,,,
,,,,,3845,300,,150000,9,,,384,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,972,,,,,,
,,,,,3999,312,,160000,9,,,400,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,1030,,,,,,
,,,,,4159,324,,170000,9,,,416,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,1092,,,,,,
,,,,,4325,336,,180000,9,,,433,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,1157,,,,,,
,,,,,4498,348,,190000,9,,,450,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,1227,,,,,,
,,,,,4678,360,,200000,9,,,468,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,1300,,,,,,
Archer Queen,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS,sc/characters.cs,300,500,12,DarkElixir,10000,8,500,750,100,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,ArcherQueen arrow lvl1,,Archer Queen Deploy,ArcherQueen attack,Archer Queen Hit,FALSE,TRUE,TRUE,,Archer Queen Die,ArcherQueen_lvl1,1300,25,Archer,0,1,Building Ready,240,,Elixir,,Archer Queen Scream,70,-50
,,,,,520,24,,15000,8,,,104,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,1,,254,,,,,,
,,,,,541,36,,20000,8,,,108,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,2,,270,,,,,,
,,,,,562,48,,25000,8,,,112,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,2,,286,,,,,,
,,,,,585,60,,30000,8,,,117,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,3,,303,,,,,,
,,,,,608,72,,35000,8,,,122,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,3,,321,,,,,,
,,,,,633,84,,40000,8,,,127,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,4,,340,,,,,,
,,,,,658,96,,45000,8,,,132,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,4,,361,,,,,,
,,,,,684,108,,50000,8,,,137,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,5,,383,,,,,,
,,,,,712,120,,55000,8,,,142,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,0,5,,405,,,,,,
,,,,,740,132,,60000,8,,,148,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,430,,,,,,
,,,,,770,144,,65000,8,,,154,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,456,,,,,,
,,,,,801,156,,70000,8,,,160,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,483,,,,,,
,,,,,833,168,,75000,8,,,167,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,512,,,,,,
,,,,,866,180,,80000,8,,,173,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,543,,,,,,
,,,,,900,192,,85000,8,,,180,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,575,,,,,,
,,,,,936,204,,90000,8,,,187,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,610,,,,,,
,,,,,974,216,,100000,8,,,195,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,646,,,,,,
,,,,,1013,228,,110000,8,,,203,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,685,,,,,,
,,,,,1053,240,,120000,8,,,211,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,2,5,,726,,,,,,
,,,,,1096,252,,130000,9,,,219,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,770,,,,,,
,,,,,1139,264,,140000,9,,,228,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,816,,,,,,
,,,,,1185,276,,150000,9,,,237,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,865,,,,,,
,,,,,1232,288,,160000,9,,,246,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,917,,,,,,
,,,,,1282,300,,170000,9,,,256,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,972,,,,,,
,,,,,1333,312,,180000,9,,,267,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,1030,,,,,,
,,,,,1386,324,,190000,9,,,277,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,1092,,,,,,
,,,,,1442,336,,200000,9,,,288,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,1157,,,,,,
,,,,,1499,348,,200000,9,,,300,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,1227,,,,,,
,,,,,1559,360,,200000,9,,,312,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,1300,,,,,,
