Name,-
String,int
Markus Aalto,
Cosmin Baltaretu,
Jonas Collaros,
Niko Derome,
Jon Franzas,
Tommi Hakala,
Pauli Kaila,
Rene Kivioja,
Rauli Laatikainen,
Mikko Lehtonen,
Lassi Leppinen,
Jani Lintunen,
Lasse Louhento,
Arto Mikkola,
Taneli Oksama,
Riku Rikala,
Martin Schjøler,
Petri Styrman,
Ville Suur-Uski,
Tommi Suvinen,
Antti Takala,
Veli Vainio,
_,
Gabriele Aimone,
Marika Appel,
Jonatas Chagas,
Erlend Christoffersen,
Visa Forsten,
Greg Harper,
Jari Hokkanen,
Jessica Hollmeier,
Mikko Kodisoja,
Miki Kuusi,
Manuel Langegger,
Laura Macdonald,
Ana Martins,
Ilkka Paananen,
Douglas Portugal,
Carole Riault,
Oscar Subirats,
Antti Summala,
Sami Yliharju,
Zhao Zeng,
