Name,-
String,int
Markus Aalto,
Cosmin Baltaretu,
Jonas Collaros,
Niko Derome,
Visa Forsten,
Jon Franzas,
Tommi Hakala,
Pauli Kaila,
Rene Kivioja,
Rauli Laatikainen,
Mikko Lehtonen,
Lassi Leppinen,
Jani Lintunen,
Lasse Louhento,
Lauri Manninen,
Arto Mikkola,
Taneli Oksama,
Andreas Papathanasis,
Riku Rikala,
Martin Schjøler,
Petri Styrman,
Ville Suur-Uski,
Tommi Suvinen,
Antti Takala,
Jouni Utriainen,
Veli Vainio,
_,
Gabriele Aimone,
Marika Appel,
Jonatas Chagas,
Erlend Christoffersen,
Hannu Halonen,
Greg Harper,
Jari Hokkanen,
Mikko Hokkanen,
Jessica Hollmeier,
Shen Jin,
Mikko Kodisoja,
Miki Kuusi,
Manuel Langegger,
Ville Leino,
Laura Macdonald,
Ana Martins,
Jumpei Oki,
Ilkka Paananen,
Douglas Portugal,
Carole Riault,
Stephen Rosenshein,
Oscar Subirats,
Antti Summala,
Sami Yliharju,
Ryan Wener,
Zhao Zeng,
