Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,Strength
String,String,String,String,int,int,int,String,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String,String,int,int,String,int,int,String,int,String,int,int,int,String,boolean,String,int,int,boolean,int,int,int,int,String,int,boolean,String,String,String,String,int,int
Barbarian King,TID_BARBARIAN_KING,TID_HERO_INSTRUCTIONS,sc/characters.cs,200,1500,12,DarkElixir,12500,7,100,1200,150,1,,sc/ui.sc,icon_hero_barbarianKing,unit_barbarianKing_big,sc/info_barbarianking.sc,unit_barbarianKing_small,sc/ui.sc,,,Barbarian King Deploy,Barbarian King Attack,Barbarian King Hit,FALSE,FALSE,TRUE,,Barbarian King Die,BarbarianKing_lvl1,1300,25,Building Ready,60,,Elixir,,Barbarian King Scream,70,-40,350,King Ability Effect,TRUE,Barbarian,2500,0,TRUE,0,0,0,0,Barbarian,0,,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_hero_barbarianKing_ability1,unit_barbarianKing_ability_big,0,7
,,,,,1560,24,,15000,7,,,156,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,64,,,,,,,,,,,,0,,,0,0,0,,0,,,,,,,7
,,,,,1622,36,,17500,7,,,162,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,68,,,,,,,,,,,,0,,,0,0,0,,0,,,,,,,7
,,,,,1687,48,,20000,7,,,169,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,72,,,,,,,,,,,,0,,,0,0,0,,0,,,,,,,8
,,,,,1755,60,,22500,7,,,175,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,76,,,,,,,,,,,,10000,,,18,9,120,,4,,,,,,,8
,,,,,1825,72,,25000,8,,,182,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,80,,,,,,,,,,,,10000,,,18,9,120,,4,,,,,,,8
,,,,,1898,84,,30000,8,,,190,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,84,,,,,,,,,,,,10000,,,18,9,120,,4,,,,,,,9
,,,,,1974,96,,35000,8,,,197,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,88,,,,,,,,,,,,10000,,,18,9,120,,4,,,,,,,9
,,,,,2053,108,,40000,8,,,205,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,92,,,,,,,,,,,,10000,,,18,9,120,,4,,,,,,,9
,,,,,2135,120,,45000,8,,,213,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,96,,,,,,,,,,,,10000,,,19,9,125,,5,,,,,,,10
,,,,,2220,132,,50000,9,,,222,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,100,,,,,,,,,,,,10000,,,19,9,125,,5,,,,,,,10
,,,,,2309,144,,55000,9,,,231,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,104,,,,,,,,,,,,10000,,,19,9,125,,5,,,,,,,10
,,,,,2402,156,,60000,9,,,240,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,108,,,,,,,,,,,,10000,,,19,9,125,,5,,,,,,,11
,,,,,2498,168,,65000,9,,,250,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,112,,,,,,,,,,,,10000,,,19,9,125,,5,,,,,,,11
,,,,,2598,,,70000,9,,,260,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,116,,,,,,,,,,,,10000,,,20,10,130,,6,,,,,,,12
,,,,,2701,,,75000,9,,,270,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,120,,,,,,,,,,,,10000,,,20,10,130,,6,,,,,,,12
,,,,,2809,,,80000,9,,,281,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,124,,,,,,,,,,,,10000,,,20,10,130,,6,,,,,,,13
,,,,,2922,,,85000,9,,,292,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,128,,,,,,,,,,,,10000,,,20,10,130,,6,,,,,,,13
,,,,,3039,,,90000,9,,,304,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,132,,,,,,,,,,,,10000,,,20,10,130,,6,,,,,,,14
,,,,,3160,,,95000,9,,,316,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,136,,,,,,,,,,,,10000,,,21,10,135,,7,,,,,,,14
,,,,,3287,,,100000,9,,,329,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,140,,,,,,,,,,,,10000,,,21,10,135,,7,,,,,,,15
,,,,,3418,,,105000,9,,,342,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,144,,,,,,,,,,,,10000,,,21,10,135,,7,,,,,,,15
,,,,,3555,,,110000,9,,,355,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,148,,,,,,,,,,,,10000,,,21,10,135,,7,,,,,,,16
,,,,,3697,,,115000,9,,,370,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,152,,,,,,,,,,,,10000,,,21,10,135,,7,,,,,,,17
,,,,,3845,,,120000,9,,,384,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,156,,,,,,,,,,,,10000,,,22,11,140,,8,,,,,,,17
,,,,,3999,,,125000,9,,,400,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,160,,,,,,,,,,,,10000,,,22,11,140,,8,,,,,,,18
,,,,,4159,,,130000,9,,,416,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,164,,,,,,,,,,,,10000,,,22,11,140,,8,,,,,,,19
,,,,,4325,,,135000,9,,,433,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,168,,,,,,,,,,,,10000,,,22,11,140,,8,,,,,,,19
,,,,,4498,,,140000,9,,,450,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,172,,,,,,,,,,,,10000,,,22,11,140,,8,,,,,,,20
,,,,,4678,,,145000,9,,,468,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,176,,,,,,,,,,,,10000,,,23,11,145,,9,,,,,,,21
,,,,,4772,,,150000,10,,,477,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,10000,,,23,11,145,,9,,,,,,,21
,,,,,4867,,,155000,10,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,145,,9,,,,,,,22
