Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,RageProjectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityDamageBoostOffset,AbilityHealthIncrease,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,StrengthWeight,StrengthWeight2,AlertRadius
String,String,String,String,int,int,int,String,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,String,String,String,String,boolean,boolean,boolean,int,String,String,int,int,String,int,int,String,int,String,int,int,int,String,boolean,String,int,int,boolean,int,int,int,int,String,int,boolean,int,int,String,String,String,String,int,int,int,int
Barbarian King,TID_BARBARIAN_KING,TID_HERO_INSTRUCTIONS_BARBARIAN,sc/characters.cs,200,1700,12,DarkElixir,12500,7,100,1200,120,1,,sc/ui.sc,icon_hero_barbarianKing,unit_barbarianKing_big,sc/info_barbarianking.sc,unit_barbarianKing_small,sc/ui.sc,,,,Barbarian King Deploy,Barbarian King Attack,Barbarian King Hit,FALSE,FALSE,TRUE,,Barbarian King Die,BarbarianKing_lvl1,900,25,Building Ready,60,,Elixir,,Barbarian King Scream,70,-40,300,King Ability Effect,TRUE,Barbarian,2500,0,TRUE,0,0,0,0,Barbarian,0,,0,0,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_hero_barbarianKing_ability1,unit_barbarianKing_ability_big,0,8,8,1200
,,,,,1742,24,,15000,7,,,122,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,64,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,8,8,
,,,,,1786,36,,17500,7,,,124,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,68,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,8,8,
,,,,,1830,48,,20000,7,,,127,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,72,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,8,8,
,,,,,1876,60,,22500,7,,,129,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,76,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,9,8,
,,,,,1923,72,,25000,8,,,132,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,80,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,9,8,
,,,,,1971,84,,30000,8,,,135,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,84,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,9,8,
,,,,,2020,96,,35000,8,,,137,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,88,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,9,8,
,,,,,2071,108,,40000,8,,,140,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl1,,,,92,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,9,8,
