Name,ID,Enabled,EnabledIOS,EnabledAndroid,Type,ShowAsNew,TID,InfoTID,ButtonTID,ButtonURL,CenterText,LoadResources,ItemSWF,ItemExportName,IconSWF,IconExportName,IconFrame,AnimateIcon,CenterIcon,IncludedCountries,ExcludedCountries,IncludedLanguages,ExcludedLanguages,MinTownHall,MinLevel,MaxDiamonds,ClickToDismiss,AvatarIdModulo,ModuloMin,ModuloMax,Collapsed
String,int,boolean,boolean,boolean,String,boolean,String,String,String,String,boolean,boolean,String,String,String,String,int,boolean,boolean,String,String,String,String,int,int,int,boolean,int,int,int,boolean
Birthday,26,FALSE,TRUE,TRUE,news,FALSE,TID_EVENT_BOOST_BARRACKS,TID_EVENT_BOOST_GEM_AMOUNT,,,FALSE,FALSE,sc/ui.sc,news_promotion_entry,sc/ui.sc,news_promo_gem_icon,0,FALSE,FALSE,,,EN,,,0,0,FALSE,,,,
releaseNotes,55,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_UPDATE_INFO_TITLE,TID_NEWS_UPDATE_INFO_TEXT,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/characters.sc,barbarian_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,
heroes,56,TRUE,TRUE,TRUE,news,FALSE,TID_NEWS_HEROES_TITLE,TID_NEWS_HEROES_TEXT,,https://www.facebook.com/ClashofClans,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/characters.sc,heroes_news_icon,0,TRUE,TRUE,,,,,5,0,0,FALSE,,,,
valkyrie,57,TRUE,TRUE,TRUE,news,FALSE,TID_NEWS_VALKYRIE_TITLE,TID_NEWS_VALKYRIE_TEXT,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/characters.sc,WarriorGirl_news_icon,0,TRUE,TRUE,,,,,5,0,0,FALSE,,,,
spells,58,TRUE,TRUE,TRUE,news,FALSE,TID_NEWS_JUMP_TITLE,TID_NEWS_JUMP_TEXT,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/ui.sc,icon_spell_jump,0,TRUE,TRUE,,,,,5,0,0,FALSE,,,,
Facebook,1,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,https://www.facebook.com/ClashofClans,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,,KR,,0,0,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
FacebookKR,2,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,https://www.facebook.com/pages/Clash-of-Clans/520353058081714,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,KR,,,0,0,TRUE,,,,
FacebookJP,3,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,https://www.facebook.com/pages/Clash-of-Clans/441860209254166?brand_redir=1,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,
Twitter,4,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClans,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,,JP,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
TwitterJP,5,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClansJP,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,JP,,,0,0,FALSE,,,,
Youtube,6,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,http://www.youtube.com/OfficialClashOfClans,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,,CN,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
YoutubeKR,7,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,https://www.youtube.com/clashofclanskorea,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,KR,,,0,0,FALSE,,,,
