TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
String,String,String,String,String,String,String,String,String,String,String,String,String,String
TID_ABOUT,Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.feedback@supercell.net.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing,Crédits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tous droits réservés.\nBrevet aux États-Unis en instance.\nToute utilisation de ce logiciel est soumise aux Conditions d'utilisation et à la Politique de confidentialité sur www.supercell.net.\nPour contacter l'assistance : clashofclans.feedback@supercell.net.\n\nTechnologie de codage audio MPEG Layer-3 sous licence de Fraunhofer IIS et Thomson Licensing.,"Mitwirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Alle Rechte vorbehalten.\nUS-Patent ausstehend\nJegliche Nutzung der Software unterliegt den Geschäftsbedingungen und Datenschutzrichtlinien, die unter www.supercell.net einsehbar sind.\nDer Kundendienst ist erreichbar unter clashofclans.feedback@supercell.net.\n\nLizenz für MPEG Layer-3 Audio-Coding-Technologie von Fraunhofer IIS und Thomson Licensing",Créditos\n\n<names>\n\nClash of Clans™ <version>\nCopyright 2012-2014 Supercell Ltd. Todos los derechos reservados.\nPatente pendiente en EE. UU.\nCualquier uso de este software está sujeto a los términos y condiciones y a la política de privacidad de www.supercell.net.\nPonte en contacto con Atención al jugador en clashofclans.feedback@supercell.net.\n\nTecnología de compresión de audio MPEG Layer-3 con licencia de Fraunhofer IIS y Thomson Licensing.,"Riconoscimenti\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tutti i diritti riservati.\nBrevetto in corso di registrazione (Stati Uniti d'America)\nL'uso di questo software è soggetto ai termini di utilizzo e alla politica sulla privacy disponibili su www.supercell.net.\nPer assistenza, contattare clashofclans.feedback@supercell.net.\n\nTecnologia di codifica audio MPEG Layer-3 concessa in licenza da Fraunhofer IIS e Thomson Licensing",Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Alle rechten voorbehouden.\nIn afwachting van Amerikaans octrooi.\nAlle gebruik van deze software is onderhevig aan de Algemene Voorwaarden en het Privacybeleid op www.supercell.net.\nNeem voor ondersteuning contact op met clashofclans.feedback@supercell.net.\nMPEG Layer-3-audiocoderingstechnologie onder licentie van Fraunhofer IIS en Thomson Licensing,Medvirkende\n\n<names>\n\nClash of Clans™ <version>\nCopyright 2012-2014 Supercell Ltd. Med enerett.\nAmerikansk patent ventende\nAll bruk av denne programvaren er underlagt vilkårene og personvernpolicyen på www.supercell.net.\nFor brukerstøtte kontakt clashofclans.feedback@supercell.net.\n\nLydkodingsteknologien MPEG Layer-3 er lisensiert fra Fraunhofer IIS og Thomson Licensing,"Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Todos os direitos reservados.\nPatente pendente nos EUA\nQualquer utilização deste software está sujeita aos Termos e Condições e à Política de Privacidade disponíveis em www.supercell.net.\nPara ajuda e suporte, contate clashofclans.feedback@supercell.net.\n\nTecnologia de codificação de áudio MPEG Layer-3 autorizada pela Fraunhofer IIS e Thomson Licensing","Hazırlayanlar\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tüm Hakları Saklıdır.\nUS Patent Bekleniyor.\nBu yazılımın kullanımı, www.supercell.net adresindeki Şartlar ve Koşullar ile Gizlilik Politikası'na tabidir.\nDestek için clashofclans.feedback@supercell.net adresinden iletişime geçin.\n\nFraunhofer IIS ve Thomson Licensing lisanslı MPEG 3 Kat audio kodlama teknolojisi",スタッフロール\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd.\nAll Rights Reserved.\n米国特許出願中\n本ソフトウェアのご利用にあたっては、サービス利用規約およびプライバシー・ポリシーに同意いただく必要があります。具体的な内容につきましては www.supercell.net をご確認ください。\nユーザーサポートEメール：\nclashofclans.feedback@supercell.net.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing,制作人员\n\n<names>\n\nClash of Clans ™ <version>\n版权所有 2012-2014 Supercell Ltd.保留所有权利。\n美国专利申请中\n所有使用本软件的行为受制于我们在www.supercell.net列明的条款、细则以及隐私政策。\n客服请联系clashofclans.feedback@supercell.net。\n\nMPEG Layer-3音频编解码技术由Fraunhofer IIS和Thomson Licensing授予许可权。,Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.feedback@supercell.net.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing,"О программе\n\n<names>\n\nClash of Clans ™ <version>\nАвторские права Supercell Ltd., 2012-2014 г. Все права защищены.\nПатент заявлен (США)\nНа любое использование данного программного обеспечения распространяются положения Условий пользования и Политики конфиденциальности, расположенных по адресу www.supercell.net.\nСвязаться со службой поддержки можно по адресу: clashofclans.feedback@supercell.net.\n\nЛицензия на MPEG Layer-3 принадлежит Fraunhofer IIS and Thomson Licensing."
TID_ABOUT_ANDROID,"Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing","Crédits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tous droits réservés.\nBrevet aux États-Unis en instance.\nToute utilisation de ce logiciel est soumise aux Conditions d'utilisation et à la Politique de confidentialité sur www.supercell.net.\nPour contacter l'assistance : clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nTechnologie de codage audio MPEG Layer-3 sous licence de Fraunhofer IIS et Thomson Licensing.","Mitwirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Alle Rechte vorbehalten.\nUS-Patent ausstehend\nJegliche Nutzung der Software unterliegt den Geschäftsbedingungen und Datenschutzrichtlinien, die unter www.supercell.net einsehbar sind.\nDer Kundendienst ist erreichbar unter clashofclans.android@supercell.net.\n\nFMOD Sound System, Copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nLizenz für MPEG Layer-3 Audio-Coding-Technologie von Fraunhofer IIS und Thomson Licensing","Créditos\n\n<names>\n\nClash of Clans™ <version>\nCopyright 2012-2014 Supercell Ltd. Todos los derechos reservados.\nPatente pendiente en EE. UU.\nCualquier uso de este software está sujeto a los términos y condiciones y a la política de privacidad de www.supercell.net.\nPonte en contacto con Atención al jugador en clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nTecnología de compresión de audio MPEG Layer-3 con licencia de Fraunhofer IIS y Thomson Licensing.","Riconoscimenti\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tutti i diritti riservati.\nBrevetto in corso di registrazione (Stati Uniti d'America)\nL'uso di questo software è soggetto ai termini di utilizzo e alla politica sulla privacy disponibili su www.supercell.net.\nPer assistenza, contattare clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nTecnologia di codifica audio MPEG Layer-3 concessa in licenza da Fraunhofer IIS e Thomson Licensing","Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Alle rechten voorbehouden.\nIn afwachting van Amerikaans octrooi.\nAlle gebruik van deze software is onderhevig aan de Algemene Voorwaarden en het Privacybeleid op www.supercell.net.\nNeem voor ondersteuning contact op met clashofclans.feedback@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nMPEG Layer-3-audiocoderingstechnologie onder licentie van Fraunhofer IIS en Thomson Licensing","Medvirkende\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Med enerett.\nAmerikansk patent ventende\nAll bruk av denne programvaren er underlagt vilkårene og personvernpolicyen på www.supercell.net.\nFor brukerstøtte kontakt clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nLydkodingsteknologien MPEG Layer-3 er lisensiert fra Fraunhofer IIS og Thomson Licensing","Créditos\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Todos os direitos reservados.\nPatente pendente nos EUA\nQualquer utilização deste software está sujeita aos Termos e Condições e à Política de Privacidade disponíveis em www.supercell.net.\nPara ajuda e suporte, contate clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nTecnologia de codificação de áudio MPEG Layer-3 autorizada pela Fraunhofer IIS e Thomson Licensing","Hazırlayanlar\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. Tüm Hakları Saklıdır.\nUS Patent Bekleniyor.\nBu yazılımın kullanımı, www.supercell.net adresindeki Şartlar ve Koşullar ile Gizlilik Politikası'na tabidir.\nDestek için clashofclans.android@supercell.net adresinden iletişime geçin.\n\nFMOD Ses Sistemi, telif hakkı © Firelight Technologies Pty, Ltd., 1994-2014.\n\nFraunhofer IIS ve Thomson Licensing lisanslı MPEG 3 Kat audio kodlama teknolojisi","スタッフロール\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd.\nAll Rights Reserved.\n米国特許出願中\n本ソフトウェアのご利用にあたっては、サービス利用規約およびプライバシー・ポリシーに同意いただく必要があります。具体的な内容につきましては www.supercell.net をご確認ください。\nユーザーサポートEメール：\nclashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing","制作人员\n\n<names>\n\nClash of Clans ™ <version>\n版权所有 2012-2014 Supercell Ltd.保留所有权利。\n美国专利申请中\n所有使用本软件的行为受制于我们在www.supercell.net列明的条款、细则以及隐私政策。\n客服请联系clashofclans.android@supercell.net。\n\nFMOD 声效系统， 版权所有 © Firelight科技有限公司,1994-2014.\n\n游戏所使用的MPEG Layer-3编码技术经Fraunhofer协会和Thomson公司授权使用。","Credits\n\n<names>\n\nClash of Clans ™ <version>\nCopyright 2012-2014 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.net.\nFor support contact clashofclans.android@supercell.net.\n\nFMOD Sound System, copyright © Firelight Technologies Pty, Ltd., 1994-2014.\n\nMPEG Layer-3 audio coding technology licensed from Fraunhofer IIS and Thomson Licensing","О программе\n\n<names>\n\nClash of Clans ™ <version>\nАвторские права Supercell Ltd., 2012-2014 г. Все права защищены.\nПатент заявлен (США)\nНа любое использование данного программного обеспечения распространяются положения Условий пользования и политики конфиденциальности, расположенных по адресу www.supercell.net.\nСвязаться со службой поддержки можно по адресу: clashofclans.android@supercell.net.\n\nВсе права на FMOD Sound System принадлежат Firelight Technologies Pty, Ltd., 1994-2014 г.\n\nЛицензия на MPEG Layer-3 принадлежит Fraunhofer IIS and Thomson Licensing"
TID_ABOUT_BUTTON,About,À propos,Über,Acerca de...,Informazioni,Over,Om,Sobre,Hakkında,このゲームについて,关于,정보,О программе
TID_ABOUT_FACEBOOK,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
TID_ABOUT_TITLE,About,À propos,Über,Acerca de,Informazioni,Over,Om,Sobre,Hakkında,このゲームについて,关于,정보,О программе
TID_ABOUT_TWITTER,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,ツイッター,推特,Twitter,Twitter
TID_ABOUT_WEIBO,Weibo,Weibo,Weibo,Weibo,Weibo,Weibo,Weibo,Weibo,Weibo,Weibo,微博,Weibo,Weibo
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,Accept join request?,Accepter la demande ?,Beitrittsanfrage annehmen?,¿Aceptar petición?,Accettare la richiesta?,Verzoek aanvaarden?,Godta forespørsel om å delta?,Aceitar pedido?,Katılma isteği kabul edinsin mi?,クランへの参加を承認しますか？,确定要批准该请求吗？,가입 신청을 승인할까요?,Разрешить присоединиться?
TID_ACCEPT_NOT_AVAILABLE_IN_MODE,Return home to reply to requests!,Rentrez au village pour répondre aux demandes !,Kehre zurück und beantworte Anfragen!,Vuelve a tu aldea para contestar a las solicitudes.,Torna a casa per rispondere alle richieste!,Keer terug naar huis om verzoeken te beantwoorden!,Gå hjem for å svare på forespørsler!,Volte à base principal para responder a pedidos!,İsteklere cevap vermek için eve dön!,リクエストに応じるにはホームに戻ってください！,返回大本营并回应请求！,요청에 답하려면 마을로 돌아가세요!,"Вернуться домой, чтобы ответить на запрос."
