Name,ID,Enabled,EnabledIOS,EnabledAndroid,Type,ShowAsNew,TID,InfoTID,ButtonTID,ButtonURL,NativeIOSURL,CenterText,LoadResources,ItemSWF,ItemExportName,IconSWF,IconExportName,IconFrame,AnimateIcon,CenterIcon,IncludedCountries,ExcludedCountries,IncludedLanguages,ExcludedLanguages,MinTownHall,MinLevel,MaxDiamonds,ClickToDismiss,AvatarIdModulo,ModuloMin,ModuloMax,Collapsed
String,int,boolean,boolean,boolean,String,boolean,String,String,String,String,String,boolean,boolean,String,String,String,String,int,boolean,boolean,String,String,String,String,int,int,int,boolean,int,int,int,boolean
Facebook,1,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/447775968580065,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,,KR,,0,0,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
FacebookKR,2,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/520353058081714,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,KR,,,0,0,TRUE,,,,
FacebookJP,3,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/441860209254166,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,
Twitter,4,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClans,twitter://user?screen_name=ClashofClans,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,,JP,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
TwitterJP,5,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClansJP,twitter://user?screen_name=ClashofClansJP,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,JP,,,0,0,FALSE,,,,
Youtube,6,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,http://www.youtube.com/OfficialClashOfClans,youtube://user/OfficialClashOfClans,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,,CN,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
YoutubeKR,7,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,https://www.youtube.com/clashofclanskorea,youtube://user/clashofclanskorea,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,KR,,,0,0,FALSE,,,,
YoutubeJP,8,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,https://www.youtube.com/user/ClashofClansJapan,youtube://user/ClashofClansJapan,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,JP,,,0,0,FALSE,,,,
Weibo,9,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_WEIBO,TID_NEWS_BUTTON_GO,http://e.weibo.com/coc365,,TRUE,FALSE,sc/ui.sc,weibo_link,,,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,
Youku,11,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUKU,TID_NEWS_BUTTON_GO,http://i.youku.com/coc365,,TRUE,FALSE,sc/ui.sc,youku_link,,,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,
BoomBeach,48,FALSE,TRUE,FALSE,more,FALSE,TID_XP_TITLE_PUZZLEANDDRAGONS,TID_XP_TEXT_PUZZLEANDDRAGONS,TID_XP_BUTTON_PUZZLEANDDRAGONS,https://itunes.apple.com/gb/app/puzzle-dragons/id709128984?l=ja&ls=1&mt=8,,FALSE,TRUE,sc/ui.sc,PD_moregames_entry,,,0,FALSE,FALSE,,,,,,0,0,FALSE,0,0,0,
HayDay,49,FALSE,TRUE,FALSE,more,FALSE,TID_XP_TITLE_PUZZLEANDDRAGONS,TID_XP_TEXT_PUZZLEANDDRAGONS,TID_XP_BUTTON_PUZZLEANDDRAGONS,https://itunes.apple.com/gb/app/puzzle-dragons/id709128984?l=ja&ls=1&mt=8,,FALSE,TRUE,sc/ui.sc,HD_moregames_entry,,,0,FALSE,FALSE,,,,,,0,0,FALSE,0,0,0,
PuzzleAndDragons,50,FALSE,TRUE,FALSE,more,FALSE,TID_XP_TITLE_PUZZLEANDDRAGONS,TID_XP_TEXT_PUZZLEANDDRAGONS,TID_XP_BUTTON_PUZZLEANDDRAGONS,https://itunes.apple.com/gb/app/puzzle-dragons/id709128984?l=ja&ls=1&mt=8,,FALSE,TRUE,sc/ui.sc,PD_moregames_entry,,,0,FALSE,FALSE,,,,,,0,0,FALSE,0,0,0,
DarkTroop,67,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_TROOP_TITLE,TID_NEWS_TROOP_TEXT,,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/characters.sc,tiny_news_icon,0,TRUE,TRUE,,,,,6,0,0,FALSE,,,,
Update,66,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_UPDATE_TITLE,TID_NEWS_UPDATE_TEXT,,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/buildings.sc,buildings_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,
Mirror,61,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_MIRROR_TITLE,TID_NEWS_MIRROR_TEXT,TID_NEWS_VIDEO_BUTTON,http://youtu.be/eOcBJkk8Pt8,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,hair_icon,0,FALSE,FALSE,,,,CN,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
Rabbit,62,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_RABBIT_TITLE,TID_NEWS_RABBIT_TEXT,TID_NEWS_VIDEO_BUTTON,http://youtu.be/GXQExw1zSPA,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,rabbit_icon,0,FALSE,FALSE,,,,CN,,0,0,FALSE,,,,
MirrorCN,63,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_MIRROR_TITLE,TID_NEWS_MIRROR_TEXT,TID_NEWS_VIDEO_BUTTON,http://v.youku.com/v_show/id_XNzYzMTY4MDI0.html,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,hair_icon,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,
RabbitCN,64,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_RABBIT_TITLE,TID_NEWS_RABBIT_TEXT,TID_NEWS_VIDEO_BUTTON,http://v.youku.com/v_show/id_XNzYzMTYzNDE2.html,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,rabbit_icon,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,
Instagram,12,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_INSTAGRAM,TID_NEWS_BUTTON_GO,http://instagram.com/clashofclans,,TRUE,FALSE,sc/ui.sc,instagram_link,,,0,FALSE,FALSE,,,,CN,,0,0,TRUE,,,,
