Name,SWF,ExportName,ParticleEmitter,Speed,StartHeight,StartOffset,IsBallistic,ShadowSWF,ShadowExportName,RandomHitPosition,UseRotate,PlayOnce,UseTopLayer
String,String,String,String,int,int,int,boolean,String,String,boolean,boolean,boolean,boolean
Cannonball,sc/buildings.sc,basic_turret_ammo,,1200,75,38,,,,,TRUE,,
Cannonball2,sc/buildings.sc,basic_turret_ammo2,,1200,75,38,,,,,TRUE,,
Cannonball4,sc/buildings.sc,basic_turret_ammo4,,1200,75,38,,,,,TRUE,,
Cannonball5,sc/buildings.sc,basic_turret_ammo5,,1200,75,38,,,,,TRUE,,
Cannonball7,sc/buildings.sc,basic_turret_ammo7,,1200,75,38,,,,,TRUE,,
Cannonball10,sc/buildings.sc,basic_turret_ammo10,,1200,75,38,,,,,TRUE,,
Cannonball12,sc/buildings.sc,basic_turret_ammo12,Spark Trail,1200,75,38,,,,,TRUE,,
Arrow_small,sc/characters.sc,arrow_ammo_small,,800,45,50,TRUE,,,,TRUE,,
Arrow_small_fire,sc/characters.sc,arrow_ammo_small_fire,,800,45,50,TRUE,,,,TRUE,,
Arrow_small_elixirFire,sc/characters.sc,arrow_ammo_small_elixirFire,,800,45,50,TRUE,,,,TRUE,,
Arrow_small_darkElixirFire,sc/characters.sc,arrow_ammo_small_darkElixirFire,,900,45,50,TRUE,,,,TRUE,,
Arrow_small_darkElixirFire2,sc/characters.sc,arrow_ammo_small_darkElixirFire2,,900,45,50,TRUE,,,,TRUE,,
Firework,sc/buildings.sc,fw_ammo,,800,60,20,TRUE,,,,TRUE,,
Firework2,sc/buildings.sc,fw_ammo2,,800,60,20,TRUE,,,,TRUE,,
Firework3,sc/buildings.sc,fw_ammo3,,800,60,20,TRUE,,,,TRUE,,
Firework4,sc/buildings.sc,fw_ammo4,,800,60,20,TRUE,,,,TRUE,,
Firework5,sc/buildings.sc,fw_ammo5,,800,60,20,TRUE,,,,TRUE,,
Firework6,sc/buildings.sc,fw_ammo6,,800,60,20,TRUE,,,,TRUE,,
Firework8,sc/buildings.sc,fw_ammo8,,800,60,20,TRUE,,,,TRUE,,
Wizard Blast,sc/buildings.sc,dummy_particle,,1200,100,0,,,,,TRUE,,
wizard_projectile,sc/buildings.sc,fireball1_projectile,,500,25,50,,,,,TRUE,,
wizard_projectile2,sc/buildings.sc,dummy_particle,,900,25,50,,,,,TRUE,,
wizard_projectile3,sc/buildings.sc,dummy_particle,wizard_lvl6_trail_emitter,900,25,50,,,,,TRUE,,
wizard_projectile3_lv6,sc/buildings.sc,dummy_particle,wizard_lvl6_trail_emitter,900,170,50,,,,,TRUE,,
Mortar Ammo1,sc/buildings.sc,mortar_ammo1,mortar_trail,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo2,sc/buildings.sc,mortar_ammo2,mortar_trail,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo3,sc/buildings.sc,mortar_ammo3,mortar_trail,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo4,sc/buildings.sc,mortar_ammo4,mortar_trail,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo5,sc/buildings.sc,mortar_ammo5,mortar_trail,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo6,sc/buildings.sc,mortar_ammo6,mortar_trail_lvl6,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
Mortar Ammo8,sc/buildings.sc,mortar_ammo8,mortar_lvl8_trail_emitter,500,95,20,TRUE,sc/buildings.sc,simple_shadow_small,,TRUE,,
HealerEnergy,sc/buildings.sc,dummy_particle,healer_projectile_trail,1200,40,38,,,,,TRUE,,
Tower Arrow,sc/characters.sc,arrow_ammo_small,,900,190,50,TRUE,,,,TRUE,,
Tower Arrow Fire,sc/characters.sc,arrow_ammo_small_fire,,900,190,50,TRUE,,,,TRUE,,
Tower Arrow ElixFire,sc/characters.sc,arrow_ammo_small_elixirFire,,900,190,50,TRUE,,,,TRUE,,
Tower Arrow DarkElixFire,sc/characters.sc,arrow_ammo_small_darkElixirFire,,900,190,50,TRUE,,,,TRUE,,
Rapidfire arrow,sc/buildings.sc,rapidfire_arrow_ammo,,2300,97,,,sc/buildings.sc,bolt_projectile_shadow,TRUE,TRUE,,
ArcherQueen arrow lvl1,sc/buildings.sc,hero_multi_arrow_lvl1,,1650,65,65,,sc/buildings.sc,bolt_projectile_shadow,,TRUE,,
Rapidfire arrow lvl2,sc/buildings.sc,rapidfire_arrow_ammo_lvl2,,2400,97,,,sc/buildings.sc,bolt_projectile_shadow,TRUE,TRUE,,
Rapidfire arrow lvl3,sc/buildings.sc,rapidfire_arrow_ammo_lvl3,,2500,97,,,sc/buildings.sc,bolt_projectile_shadow,TRUE,TRUE,,
Rapidfire arrow lvl4,sc/buildings.sc,rapidfire_arrow_ammo_lvl4,,2500,97,,,sc/buildings.sc,bolt_projectile_shadow,TRUE,TRUE,,
ArcherQueen arrow lvl2,sc/buildings.sc,hero_multi_arrow_lvl2,,1650,65,65,,sc/buildings.sc,bolt_projectile_shadow,,TRUE,,
MegaAirTrapBalloon,sc/buildings.sc,mega_air_trap_projectile,,250,60,20,FALSE,sc/buildings.sc,simple_shadow_small,,FALSE,TRUE,TRUE
AirTrapBalloon,sc/buildings.sc,air_trap_projectile,,250,0,20,FALSE,sc/buildings.sc,simple_shadow_small,,FALSE,TRUE,TRUE
LargeDarkElixirBalloon,sc/buildings.sc,evil_airTrap_projectile,large_airTrap_redSmoke,250,0,20,FALSE,sc/buildings.sc,simple_shadow_small,,FALSE,TRUE,TRUE
gargoyle_projectile,sc/characters.sc,slimeball_projectile,,380,125,50,TRUE,,,,TRUE,,
Witch_projectile,sc/buildings.sc,witch_projectile,witch_trail_emitter,500,25,50,,,,,TRUE,,
AirTrapBalloon_lvl3,sc/buildings.sc,air_trap_projectile_lvl3,,250,0,20,FALSE,sc/buildings.sc,simple_shadow_small,,FALSE,TRUE,TRUE
LargeDarkElixirBalloon_lvl3,sc/buildings.sc,evil_airTrap_projectile_lvl3,large_airTrap_redSmoke,250,0,20,FALSE,sc/buildings.sc,simple_shadow_small,,FALSE,TRUE,TRUE
Tower Arrow Fire2,sc/characters.sc,arrow_ammo_small_fire,Spark Trail,900,190,50,TRUE,,,,TRUE,,
Tower Arrow Fire3,sc/characters.sc,arrow_ammo_small_fire,Spark Trail_Dark,900,190,50,TRUE,,,,TRUE,,
ArcherQueen arrow rage,sc/buildings.sc,hero_multi_arrow_rage,,1650,65,65,,sc/buildings.sc,bolt_projectile_shadow,,TRUE,,
