Name,ID,Enabled,EnabledIOS,EnabledAndroid,Type,ShowAsNew,TID,InfoTID,ButtonTID,ButtonURL,NativeIOSURL,CenterText,LoadResources,ItemSWF,ItemExportName,IconSWF,IconExportName,IconFrame,AnimateIcon,CenterIcon,IncludedCountries,ExcludedCountries,IncludedLanguages,ExcludedLanguages,MinTownHall,MinLevel,MaxDiamonds,ClickToDismiss,AvatarIdModulo,ModuloMin,ModuloMax,Collapsed,ActionType,MinOS,MaxOS
String,int,boolean,boolean,boolean,String,boolean,String,String,String,String,String,boolean,boolean,String,String,String,String,int,boolean,boolean,String,String,String,String,int,int,int,boolean,int,int,int,boolean,String,String,String
Facebook,1,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/447775968580065,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,,KR,,0,0,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,,,,
FacebookKR,2,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/520353058081714,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,KR,,,0,0,TRUE,,,,,,,
FacebookJP,3,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FACEBOOK,TID_NEWS_BUTTON_GO,http://www.facebook.com/441860209254166,,TRUE,FALSE,sc/ui.sc,fb_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,,,,
Twitter,4,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClans,twitter://user?screen_name=ClashofClans,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,,JP,,0,0,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
TwitterJP,5,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITTER,TID_NEWS_BUTTON_GO,https://twitter.com/ClashofClansJP,twitter://user?screen_name=ClashofClansJP,TRUE,FALSE,sc/ui.sc,twitter_link,,,0,FALSE,FALSE,,,JP,,,0,0,FALSE,,,,,,,
Youtube,6,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,http://www.youtube.com/OfficialClashOfClans,youtube://user/OfficialClashOfClans,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,,CN,,0,0,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,,,,
YoutubeKR,7,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,https://www.youtube.com/clashofclanskorea,youtube://user/clashofclanskorea,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,KR,,,0,0,FALSE,,,,,,,
YoutubeJP,8,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUTUBE,TID_NEWS_BUTTON_GO,https://www.youtube.com/user/ClashofClansJapan,youtube://user/ClashofClansJapan,TRUE,FALSE,sc/ui.sc,youtube_link,,,0,FALSE,FALSE,,,JP,,,0,0,FALSE,,,,,,,
Weibo,9,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_WEIBO,TID_NEWS_BUTTON_GO,http://e.weibo.com/coc365,,TRUE,FALSE,sc/ui.sc,weibo_link,,,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,,,,
Youku,11,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_YOUKU,TID_NEWS_BUTTON_GO,http://i.youku.com/coc365,,TRUE,FALSE,sc/ui.sc,youku_link,,,0,FALSE,FALSE,,,CN,,,0,0,FALSE,,,,,,,
Instagram,12,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_INSTAGRAM,TID_NEWS_BUTTON_GO,http://instagram.com/clashofclans,,TRUE,FALSE,sc/ui.sc,instagram_link,,,0,FALSE,FALSE,,,,CN,,0,0,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
Twitch,13,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITCH,TID_NEWS_BUTTON_GO,http://www.twitch.tv/directory/game/Clash%20of%20Clans,,TRUE,FALSE,sc/ui.sc,twitch_link,,,0,FALSE,FALSE,,,,CN,,0,0,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
HungryApp,14,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_HUNGRYAPP,TID_NEWS_BUTTON_GO,http://www.hungryapp.co.kr/bbs/list.php?bcode=coc,,TRUE,FALSE,sc/ui.sc,hungryapp_link,,,0,FALSE,FALSE,,,KR,,,0,0,TRUE,,,,,,,
AppBank,15,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_APPBANK,TID_NEWS_BUTTON_GO,http://www.appbank.net/2013/06/15/iphone-application/619819.php,,TRUE,FALSE,sc/ui.sc,appbank_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,,,,
Famitsu,16,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FAMITSU,TID_NEWS_BUTTON_GO,http://app.famitsu.com/category/game-tips/clash-of-clans/,,TRUE,FALSE,sc/ui.sc,famitsu_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,,,,
Forums,10,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FORUMS,TID_NEWS_BUTTON_GO,http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans,,TRUE,FALSE,sc/ui.sc,forums_link,,,0,FALSE,FALSE,,,,KR,,0,0,FALSE,,,,,,,
Safeguard,85,TRUE,TRUE,FALSE,news,TRUE,TID_NEWS_SAFEGUARD_TITLE,TID_NEWS_SAFEGUARD_TEXT,TID_GOOGLE_SERVICE_SIGN_IN,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic_gc,,,0,FALSE,FALSE,,,,,,,,,,,,,OpenGC,7.0,
SafeguardIOS6,87,TRUE,TRUE,FALSE,news,TRUE,TID_NEWS_SAFEGUARD_TITLE,TID_NEWS_SAFEGUARD_TEXT,TID_GOOGLE_SERVICE_SIGN_IN,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic_gc6,,,0,FALSE,FALSE,,,,,,,,,,,,,OpenGC,,7.0
SafeguardAndroid,86,TRUE,FALSE,TRUE,news,TRUE,TID_NEWS_SAFEGUARD_TITLE,TID_NEWS_SAFEGUARD_TEXT_ANDROID,TID_GOOGLE_SERVICE_SIGN_IN,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic_gplus,,,0,FALSE,FALSE,,,,,,,,,,,,,OpenG+,,
Red,90,FALSE,TRUE,FALSE,news,TRUE,TID_NEWS_RED_TITLE,TID_NEWS_RED_TEXT,TID_NEWS_RED_LIKE,http://www.facebook.com/6829493713,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic_red,,,0,FALSE,FALSE,,,,CN,,,,,,,,,,,
RedCN,91,FALSE,TRUE,FALSE,news,TRUE,TID_NEWS_RED_TITLE,TID_NEWS_RED_TEXT,TID_NEWS_RED_MORE,http://www.red.org/en/learn,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic_red,,,0,FALSE,FALSE,,,CN,,,,,,,,,,,,
Update,88,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_UPDATE_TITLE,TID_NEWS_UPDATE_TEXT,,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/buildings.sc,skeleton_trap_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,
UpgradeYourOS,92,FALSE,TRUE,FALSE,news,TRUE,TID_NEWS_UPGRADE_OS_TITLE,TID_NEWS_UPGRADE_OS_TEXT,TID_NEWS_RED_MORE,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/buildings.sc,buildings_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,5.0
