Name,ParameterType,ParameterName,Description,Public
String,String,String,String,boolean
OpenShop,,,Open the shop,TRUE
OpenShopBillingPackage,BillingPackage,package,Open the shop and show the billing package,TRUE
OpenShopOfferBundle,Bundle,bundle,Open the shop and show bundle,TRUE
OpenShopBuilding,Building,building,Open the shop and show the building,TRUE
OpenShopTrap,Trap,trap,Open the shop and show the trap,TRUE
OpenTraining,,,Open the training screen,TRUE
OpenTrainingTroop,Troop,troop,Open the training screen and show the troop,TRUE
OpenTrainingSpell,Spell,spell,Open the training screen and show the spell,TRUE
OpenWeb,String,url,Open default browser and go to address,FALSE
,,url2,If address cannot be opened i.e. clashroyale:// then the following urls are tested.,
,,url3,,
Share,String,url,Open native share dialogue with message,FALSE
,String,message,,
OpenPlayerProfile,String,tag,Open player profile,TRUE
OpenClanProfile,String,tag,Open a clans profile,TRUE
OpenEvents,int,eventId,Open event calendar and highlight event,TRUE
SelectGameObject,GameObject,name,Select first game object with name,TRUE
OpenHelpshift,String,article,"Open Helpshift. Show article if defined, show section if defined, else show FAQ.",TRUE
,String,section,,
